Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1945-11-30
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
1961-01-31;18;254.3;26.570968;21.592903;18.448387;84.612903;
1961-02-28;20;335;26.867857;21.819286;18.775;83.080357;
1961-03-31;15;147.9;26.174194;20.600645;17.206452;83.008065;
1961-04-30;8;78.2;25.68;20.200667;16.583333;80.941667;
1961-05-31;5;64.8;22.525806;17.250968;13.716129;81.790323;
1961-06-30;9;30.5;22.573333;16.687333;12.82;80.766667;
1961-07-31;4;.4;23.364516;16.26129;11.558065;74.282258;
1961-08-31;5;13.8;25.7;17.735484;12.332258;71.41129;
1961-09-30;4;4;28.293333;20.436;16.143333;74.416667;
1961-10-31;13;178.8;27.6;20.708387;16.606452;76.935484;
1961-11-30;18;124.7;28.196667;21.18;16.68;78.083333;
1961-12-31;22;186.6;27.177419;20.72129;17.083871;81.185484;
1962-01-31;17;109.8;26.658065;20.677419;16.977419;81.927419;
1962-02-28;11;205.3;27.907143;21.252143;17.303571;81.928571;
1962-03-31;12;245.2;28.103226;21.4;17.487097;81.83871;
1962-04-30;8;61.5;25.773333;18.894667;15.05;80.891667;
1962-05-31;9;17.3;22.803226;16.114194;12.158065;80.419355;
1962-06-30;7;11.9;21.073333;14.152;9.973333;78.15;
1962-07-31;6;34.8;20.577419;13.723871;9.219355;78.104839;
1962-08-31;4;50.3;23.764516;15.82;10.658065;71.83871;
1962-09-30;9;46.9;23.91;17.695333;13.903333;78.075;
1962-10-31;19;182.3;21.545161;17.16129;14.370968;83.556452;
1962-11-30;9;64.7;25.21;19.278;14.976667;76.716667;
1962-12-31;17;236.3;24.483871;19.985161;17.106452;87.024194;
1963-01-31;19;219.1;27.874194;22.487742;19.329032;81.072581;
1963-02-28;18;241;26.914286;21.305;17.764286;83.3125;
1963-03-31;14;78.1;28.729032;22.49871;18.870968;79.467742;
