Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;30.758065;25.685161;22.951613;
1961-02-28;29.396429;24.871429;22.496429;
1961-03-31;29.812903;25.342581;22.803226;
1961-04-30;29.783333;25.540667;23.206667;
1961-05-31;30.36129;25.655484;23.112903;
1961-06-30;31.533333;25.864667;22.593333;
1961-07-31;32.090323;26.031613;22.296774;
1961-08-31;31.958065;26.059355;22.329032;
1961-09-30;31.946667;25.812;22.143333;
1961-10-31;31.458065;25.825161;22.306452;
1961-11-30;31.503333;25.850667;22.34;
1961-12-31;31.341935;25.767097;22.483871;
1962-01-31;30.783871;25.493548;22.629032;
1962-02-28;29.985714;25.132857;22.939286;
1962-03-31;30.335484;25.377419;22.770968;
1962-04-30;29.87;25.238;23.01;
1962-05-31;31.403226;25.888387;23.06129;
1962-06-30;31.753333;26.005333;22.536667;
1962-07-31;31.770968;25.923226;22.458065;
1962-08-31;32.241935;26.158065;22.441935;
1962-09-30;32.523333;26.066;22.02;
1962-10-31;32.258065;26.040645;22.154839;
1962-11-30;31.556667;25.912667;22.603333;
1962-12-31;31.73871;26.09871;22.835484;
1963-01-31;30.680645;25.465806;22.593548;
1963-02-28;30.189286;25.165714;22.642857;
1963-03-31;30.119355;24.985161;22.683871;
1963-04-30;30.44;25.475333;23.156667;
1963-05-31;31.787097;26.026452;23.319355;
1963-06-30;31.746667;25.898667;22.89;
1963-07-31;32.132258;26.110323;22.487097;
1963-08-31;32.267742;26.177419;22.46129;
1963-09-30;32.1;25.960667;22.583333;
1963-10-31;31.922581;26.027742;22.548387;
1963-11-30;32.24;26.126667;22.636667;
1963-12-31;30.5;25.416129;22.732258;
1964-01-31;29.906452;25.160645;22.235484;
1964-02-29;29.593103;24.88069;22.189655;
1964-03-31;29.212903;25.029032;22.351613;
1964-04-30;30.176667;25.170667;22.073333;
1964-05-31;31.206452;25.331613;22.635484;
1964-06-30;32.04;25.695333;22.53;
1964-07-31;32.587097;26.023226;22.480645;
1964-08-31;32.941935;26.051613;22.490323;
1964-09-30;32.83;26.024;22.55;
1964-10-31;null;null;null;
1964-11-30;null;null;null;
1964-12-31;null;null;null;
1965-01-31;null;null;null;
1965-02-28;null;null;null;
1965-03-31;null;null;null;
1965-04-30;null;null;null;
1965-05-31;null;null;null;
1965-06-30;null;null;null;
1965-07-31;null;null;null;
1965-08-31;null;null;null;
1965-09-30;null;null;null;
1965-10-31;null;null;null;
1965-11-30;null;null;null;
1965-12-31;null;null;null;
1966-01-31;null;null;null;
1966-02-28;null;null;null;
1966-03-31;null;null;null;
1966-04-30;null;null;null;
1966-05-31;null;null;null;
1966-06-30;null;null;null;
1966-07-31;null;null;null;
1966-08-31;null;null;null;
1966-09-30;null;null;null;
1966-10-31;null;null;null;
1966-11-30;null;null;null;
1966-12-31;null;null;null;
1967-01-31;31.274194;25.835484;22.470968;
1967-02-28;30.057143;25.355714;22.564286;
1967-03-31;29.680645;25.324516;22.722581;
1967-04-30;30.383333;25.614;22.693333;
1967-05-31;30.748387;25.745806;22.564516;
1967-06-30;31.526667;25.720667;21.983333;
1967-07-31;31.483871;25.756129;21.535484;
1967-08-31;31.616129;25.720645;21.025806;
1967-09-30;31.64;21.821333;null;
1967-10-31;32.196774;26.121935;20.46129;
1967-11-30;32.516667;26.459333;20.966667;
1967-12-31;32.019355;26.147742;20.774194;
1968-01-31;31.580645;25.316774;21.034483;
1968-02-29;30.603448;24.555862;20.73913;
1968-03-31;29.751613;25.230323;22.348387;
1968-04-30;30.876667;21.462;null;
1968-05-31;29.841935;21.220645;null;
1968-06-30;31.136667;25.851333;22.25;
1968-07-31;32.2;26.091613;21.758065;
1968-08-31;32.825806;26.220645;21.316129;
1968-09-30;32.806667;26.304667;21.403333;
1968-10-31;33.064516;26.504516;21.451613;
1968-11-30;32.316667;26.182;22.04;
1968-12-31;32.293548;26.127742;21.764516;
1969-01-31;31.725806;25.919355;22.151613;
1969-02-28;32.110714;26.448571;22.696429;
1969-03-31;32.209677;26.50129;23.054839;
1969-04-30;32.383333;26.568667;23.373333;
1969-05-31;33.285714;26.715714;23.064516;
1969-06-30;33.344828;26.770345;22.676667;
1969-07-31;32.966667;26.081333;21.625806;
1969-08-31;33.532258;26.565806;21.580645;
1969-09-30;33.15;26.359333;21.366667;
1969-10-31;33.677419;26.684516;21.016129;
1969-11-30;33.633333;26.776667;21.366667;
1969-12-31;34.580645;27.083871;21.080645;
1970-01-31;32.158065;26.187097;21.790323;
1970-02-28;32.489286;26.376429;22.035714;
1970-03-31;31.735484;25.938065;22.064516;
1970-04-30;32.46;26.412;22.3;
1970-05-31;32.754839;26.26129;22.112903;
1970-06-30;32.36;25.989333;21.7;
1970-07-31;32.741935;26.106452;21.33871;
1970-08-31;32.951613;26.196774;21.241935;
1970-09-30;32.283333;25.856667;20.95;
1970-10-31;33.225806;26.374194;20.83871;
1970-11-30;32.566667;26.123333;21.783333;
1970-12-31;32.796774;26.352903;21.516129;
1971-01-31;32.093548;25.654194;21.322581;
1971-02-28;31.485714;25.18;21.089286;
1971-03-31;31.106452;25.295484;21.564516;
1971-04-30;31.226667;25.408667;21.766667;
1971-05-31;31.719355;25.651613;21.677419;
1971-06-30;32.133333;25.626667;21.35;
1971-07-31;32.46129;25.753548;21.066667;
1971-08-31;32.870968;25.951613;20.822581;
1971-09-30;32.83;25.966;20.55;
1971-10-31;32.493548;26.009677;20.870968;
1971-11-30;32.943333;26.388667;21.05;
1971-12-31;32.777419;26.095484;20.83871;
1972-01-31;31.2;25.100645;21.193548;
1972-02-29;30.782759;24.891034;21.206897;
1972-03-31;31.616129;25.45871;21.725806;
1972-04-30;31.73;25.792667;21.983333;
1972-05-31;32.480645;26.097419;21.774194;
1972-06-30;32.736667;26.246;21.816667;
1972-07-31;32.332258;25.75871;21.177419;
1972-08-31;32.674194;25.873548;20.66129;
1972-09-30;32.646667;26.086;20.866667;
1972-10-31;32.806452;26.298065;20.774194;
1972-11-30;33.24;26.817333;21.4;
1972-12-31;32.567742;26.500645;22.312903;
1973-01-31;31.483871;26.091613;22.796774;
1973-02-28;31.303571;25.794286;22.642857;
1973-03-31;31.367742;26.061935;23.209677;
1973-04-30;31.646667;26.072667;23.016667;
1973-05-31;32.329032;26.290968;23.080645;
1973-06-30;32.353333;26.382667;22.683333;
1973-07-31;32.170968;26.130323;22.3;
1973-08-31;32.664516;26.372258;22.096774;
1973-09-30;31.993333;26.097333;22.116667;
1973-10-31;32.803226;26.853548;22.85;
1973-11-30;32.21;26.752667;22.55;
1973-12-31;30.780645;25.54129;22.290323;
1974-01-31;29.670968;25.052258;21.96129;
1974-02-28;29.796429;24.891429;22.325;
1974-03-31;28.774194;24.956;22.612903;
1974-04-30;29.246667;25.299333;22.906897;
1974-05-31;30.351613;25.44;22.654839;
1974-06-30;30.796667;25.486;22.136667;
1974-07-31;31.270968;25.341935;21.16129;
1974-08-31;31.587097;25.825806;21.487097;
1974-09-30;31.72;25.953333;21.843333;
1974-10-31;31.929032;26.303226;21.612903;
1974-11-30;32.22;26.506;21.58;
1974-12-31;30.987097;25.549032;21.903226;
1975-01-31;30.487097;25.428387;21.764516;
1975-02-28;29.392857;25.033571;22.192857;
1975-03-31;30.26129;25.410323;22.032258;
1975-04-30;29.756667;25.468667;22.773333;
1975-05-31;30.087097;25.488387;22.458065;
1975-06-30;30.996667;25.562667;21.77;
1975-07-31;30.858065;25.156129;20.841935;
1975-08-31;31.558065;25.605161;20.877419;
1975-09-30;31.496667;25.708667;20.916667;
1975-10-31;31.587097;25.832258;20.548387;
1975-11-30;31.576667;25.844;20.796667;
1975-12-31;31.6;25.897419;21.458065;
1976-01-31;30.506452;25.000645;20.929032;
1976-02-29;29.813793;24.938571;21.235714;
1976-03-31;30.083871;25.33871;22.06129;
1976-04-30;30.643333;25.644667;22.263333;
1976-05-31;31.335484;25.896129;21.987097;
1976-06-30;31.106667;25.271333;21.12;
1976-07-31;31.083871;25.32129;20.558065;
1976-08-31;31.596774;25.628387;21.012903;
1976-09-30;31.796552;25.84069;20.69;
1976-10-31;32.422581;26.50129;20.812903;
1976-11-30;32.716667;26.426667;20.303333;
1976-12-31;32.167742;25.96129;20.287097;
1977-01-31;30.387097;25.151613;20.512903;
1977-02-28;30.128571;24.76;20.1;
1977-03-31;30.306452;25.139355;20.435484;
1977-04-30;30.546667;25.446;20.89;
1977-05-31;31.429032;25.619355;21.245161;
1977-06-30;31.536667;25.772;21.326667;
1977-07-31;31.616129;25.855484;21.658065;
1977-08-31;31.76129;25.796774;21.53871;
1977-09-30;31.703333;26.092667;22.333333;
1977-10-31;32.048387;26.447097;22.416129;
1977-11-30;32.37;26.587333;21.883333;
1977-12-31;31.967742;26.341935;21.996774;
