Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;26.006452;21.273548;18.319355;
1961-02-28;28.364286;22.931429;18.928571;
1961-03-31;28.451613;22.716774;18.416129;
1961-04-30;28.286667;22.145333;17.486667;
1961-05-31;25.677419;19.78;15.222581;
1961-06-30;24.923333;18.782;13.99;
1961-07-31;25.373333;18.482;13.406452;
1961-08-31;28.03871;20.341935;14.403226;
1961-09-30;32.05;24.104667;17.823333;
1961-10-31;28.590323;22.347097;17.654839;
1961-11-30;29.416667;23.548;18.87;
1961-12-31;27.248387;22.094194;18.190323;
1962-01-31;27.770968;22.376774;18.796774;
1962-02-28;27.372;22.5784;19.010714;
1962-03-31;27.246667;22.415484;18.703333;
1962-04-30;27.231034;21.484138;17.153333;
1962-05-31;24.658065;18.888387;14.177419;
1962-06-30;22.796667;16.686667;11.453333;
1962-07-31;23.367742;17.619355;12.651613;
1962-08-31;26.074194;19.825161;14.509677;
1962-09-30;26.858621;20.89931;16.23;
1962-10-31;24.690323;20.247097;16.451613;
1962-11-30;27.17;22.205333;17.596667;
1962-12-31;25.483871;21.25871;18.370968;
1963-01-31;29.69;24.127826;19.6375;
1963-02-28;28.142857;23.053571;19.267857;
1963-03-31;30.8;24.799355;19.76129;
1963-04-30;29.033333;22.931333;18.33;
1963-05-31;25.371429;19.017778;14.123333;
1963-06-30;23.883333;18.038621;13.166667;
1963-07-31;25.062069;18.641379;13.56129;
1963-08-31;27.473333;20.5;14.612903;
1963-09-30;30.05;22.890667;17.11;
1963-10-31;30.041935;24.547097;20.187097;
1963-11-30;30.18;24.610345;20.036667;
1963-12-31;29.583871;23.836552;18.819355;
1964-01-31;25.106452;21.203333;18.329032;
1964-02-29;27.731034;22.825517;19.493103;
1964-03-31;27.329032;22.271613;18.167742;
1964-04-30;27.166667;21.986667;18.08;
1964-05-31;24.445161;19.113548;15.325806;
1964-06-30;24.54;18.306667;13.533333;
1964-07-31;22.196774;16.829032;13.012903;
1964-08-31;24.606452;19.079355;14.845161;
1964-09-30;26.306667;20.319333;15.946667;
1964-10-31;25.787097;20.657419;17.177419;
1964-11-30;25.233333;20.279333;16.696667;
1964-12-31;25.077419;20.723226;17.664516;
1965-01-31;25.483871;21.267742;18.096774;
1965-02-28;26.364286;21.758571;18.842857;
1965-03-31;25.687097;21.259333;18.370968;
1965-04-30;26.703333;21.400667;17.233333;
1965-05-31;26.180645;20.623226;16.487097;
1965-06-30;24.131034;18.976552;14.944828;
1965-07-31;23.651613;18.406452;14.090323;
1965-08-31;26.348387;20.337419;15.390323;
1965-09-30;27.75;21.968;17.323333;
1965-10-31;25.267742;20.652258;16.829032;
1965-11-30;26.21;21.493333;17.913333;
1965-12-31;28.609677;23.096667;19.166667;
1966-01-31;26.680645;22.047097;18.819355;
1966-02-28;27.773684;22.991579;19.478571;
1966-03-31;28.396774;23.017419;18.867742;
1966-04-30;27.29;21.566;17.11;
1966-05-31;24.712903;19.59871;15.709677;
1966-06-30;24.933333;18.695333;13.763333;
1966-07-31;23.609677;18.28;14.267742;
1966-08-31;26.435484;19.987097;15.248387;
1966-09-30;26.406667;20.464667;16.026667;
1966-10-31;27.812903;22.291613;18.154839;
1966-11-30;25.616667;20.982667;17.63;
1966-12-31;26.932258;22.590323;18.654839;
1967-01-31;27.487097;22.855333;18.696774;
1967-02-28;null;null;19.532143;
1967-03-31;27.363333;22.994483;19.480645;
1967-04-30;26.106667;21.255333;17.393333;
1967-05-31;25.493548;19.950968;15.306452;
1967-06-30;24.633333;19.299333;14.843333;
1967-07-31;24.270968;18.221935;13.296774;
1967-08-31;26.354839;20.302;14.819355;
1967-09-30;27.523333;21.318;16.193333;
1967-10-31;28.074194;22.447742;17.735484;
1967-11-30;26.21;21.917333;18.296667;
1967-12-31;25.303226;20.893548;18.006452;
1968-01-31;29.064516;23.056129;18.725806;
1968-02-29;26;21.112414;17.782759;
1968-03-31;28.312903;21.956129;17.258065;
1968-04-30;25.946667;19.954;15.486667;
1968-05-31;24.416129;16.992903;11.406452;
1968-06-30;23.79;16.127333;10.043333;
1968-07-31;23.241935;16.720645;11.8;
1968-08-31;24.041935;17.342581;12.296774;
1968-09-30;25.97;19.374667;14.46;
1968-10-31;25.719355;20.518065;16.722581;
1968-11-30;28.3;22.579333;18.166667;
1968-12-31;27.735484;22.136129;18.154839;
1969-01-31;29.348387;23.490323;19.125806;
1969-02-28;30.425;24.167143;19.564286;
1969-03-31;28.758065;22.857419;18.367742;
1969-04-30;27.563333;21.285333;16.64;
1969-05-31;26.76129;19.914839;14.296774;
1969-06-30;24.866667;18.161333;13;
1969-07-31;25.422581;18.122581;12.725806;
1969-08-31;27.483871;20.205161;14.374194;
1969-09-30;29.34;22.116;16.726667;
1969-10-31;27.383871;21.978065;17.945161;
1969-11-30;27.183333;22.067333;18.203333;
1969-12-31;25.96129;21.363871;17.603226;
1970-01-31;27.474194;22.203871;18.751613;
1970-02-28;28.182143;22.605;18.471429;
1970-03-31;29.206452;22.998065;18.364516;
1970-04-30;27.093333;21.162667;16.386667;
1970-05-31;27.422581;20.051613;14.025806;
1970-06-30;25.723333;19.066;13.806667;
1970-07-31;23.983871;17.456774;12.777419;
1970-08-31;25.506452;18.821935;13.887097;
1970-09-30;25.9;20.401333;16.5;
1970-10-31;27.23871;21.483226;17.519355;
1970-11-30;27.026667;21.277333;17.22;
1970-12-31;30.029032;23.869032;18.796774;
1971-01-31;30.190323;24.08129;18.993548;
1971-02-28;30.642857;24.135;18.960714;
1971-03-31;29.687097;23.392903;18.512903;
1971-04-30;28.6;22.11;17.133333;
1971-05-31;27.135484;19.848387;14.13871;
1971-06-30;25.61;18.55;12.786667;
1971-07-31;25.290323;18.297419;12.464516;
1971-08-31;26.548387;19.429677;13.358065;
1971-09-30;26.726667;20.192;14.776667;
1971-10-31;25.429032;19.949032;15.687097;
1971-11-30;25.226667;20.259333;16.04;
1971-12-31;26.812903;21.58;17.148387;
1972-01-31;29.554839;23.27871;17.66129;
1972-02-29;29.072414;23.104828;18.955172;
1972-03-31;29.283871;23.092258;18.729032;
1972-04-30;26.086667;20.289333;15.87;
1972-05-31;26.119355;19.072258;13.470968;
1972-06-30;26.706667;18.781333;12.646667;
1972-07-31;24.993548;18.336129;13.745161;
1972-08-31;27.564516;20.161935;14.703226;
1972-09-30;26.106667;20.318;16.183333;
1972-10-31;28;22.333548;18.051613;
1972-11-30;27.443333;22.472;19.19;
1972-12-31;28.412903;22.798065;18.496774;
1973-01-31;30.222581;24.205161;19.641935;
1973-02-28;30.364286;24.319286;19.703571;
1973-03-31;28.864516;23.269677;19.587097;
1973-04-30;30.073333;23.384;18.67;
1973-05-31;26.554839;19.929032;14.96129;
1973-06-30;27.19;20.022;15.22;
1973-07-31;26.232258;19.150968;14;
1973-08-31;28.5;20.949032;15.129032;
1973-09-30;26.98;20.588667;16.113333;
1973-10-31;26.73871;21.073548;17.06129;
1973-11-30;27.103333;21.580667;17.73;
1973-12-31;28.43871;22.820645;18.909677;
1974-01-31;28.977419;22.874194;18.635484;
1974-02-28;29.692593;23.659259;19.053571;
1974-03-31;27.590323;22.246452;18.977419;
1974-04-30;27.08;21.448667;17.363333;
1974-05-31;26.164516;19.878065;15.290323;
1974-06-30;24.926667;17.715862;12.355172;
1974-07-31;25.019355;17.430968;10.954839;
1974-08-31;26.822581;19.497419;13.593548;
1974-09-30;29.32;22.032;16.16;
1974-10-31;28.074194;21.921935;17.067742;
1974-11-30;28.64;22.264;17.013333;
1974-12-31;26.122581;21.324516;17.835484;
1975-01-31;28.116129;22.313333;17.463333;
1975-02-28;29.153571;23.354615;18.480769;
1975-03-31;29.258065;23.03871;17.670968;
1975-04-30;26.876667;20.296296;14.607407;
1975-05-31;25.448387;18.434;12.683333;
1975-06-30;25.263333;17.970345;12.093103;
1975-07-31;23.725806;16.528;10.596667;
1975-08-31;26.925806;19.300645;12.651613;
1975-09-30;27.633333;20.408667;14.813333;
1975-10-31;28.506897;22.314167;16.792;
1975-11-30;26.87;21.264286;17.135714;
1975-12-31;28.077419;22.32129;17.377419;
1976-01-31;30.190323;23.575484;17.835484;
1976-02-29;28.431034;22.632414;17.67931;
1976-03-31;28.722581;22.696774;17.970968;
1976-04-30;28.383333;21.646667;16.173333;
