Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 1961-09-11
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-09-30;32.02;23.264348;14.81;
1961-10-31;28.546667;22.71;17.193333;
1961-11-30;28.251724;null;17.153571;
1961-12-31;null;null;null;
1962-01-31;25.726087;null;17.422727;
1962-02-28;null;null;null;
1962-03-31;null;null;null;
1962-04-30;27.493333;20.401333;14.966667;
1962-05-31;25.651613;18.403871;11.26129;
1962-06-30;25.046667;16.936667;8.596667;
1962-07-31;25.487097;16.996129;9.693333;
1962-08-31;27.487097;19.561935;11.129032;
1962-09-30;28.923333;21.572;14.103333;
1962-10-31;26.251613;20.107097;14.1;
1962-11-30;27.555172;20.968276;14.75;
1962-12-31;23.636364;19.490526;14.919355;
1963-01-31;28.312903;21.894194;17.383871;
1963-02-28;26.546429;20.485714;14.675;
1963-03-31;29.696774;22.907097;17.619355;
1963-04-30;27.13;21.135333;17.156667;
1963-05-31;25.003226;18.45871;13.53871;
1963-06-30;24.936667;17.502;11.993333;
1963-07-31;25.577419;18.239355;12.548387;
1963-08-31;28.325806;20.673548;14.5;
1963-09-30;30.316667;22.970667;16.8;
1963-10-31;31.993548;24.911613;19.225806;
1963-11-30;29.15;23.12;18.35;
1963-12-31;27.519355;22.00129;17.812903;
1964-01-31;24.990323;20.507097;17.909677;
1964-02-29;26.558621;21.478621;18.210345;
1964-03-31;27.380645;21.507742;17.558065;
1964-04-30;27.393333;21.267333;16.906667;
1964-05-31;24.758065;19.013548;15.177419;
1964-06-30;24.916667;17.82;12.173333;
1964-07-31;24.458065;17.357419;12.23871;
1964-08-31;26.458065;19.471613;14.132258;
1964-09-30;28.256667;21.314;15.78;
1964-10-31;25.867742;20.122581;16.380645;
1964-11-30;24.87;19.804667;16.766667;
1964-12-31;25.925806;20.444516;16.887097;
1965-01-31;25.812903;20.302581;17.093548;
1965-02-28;26.657143;21.022143;17.303571;
1965-03-31;25.83871;20.346452;16.851613;
1965-04-30;25.986667;20.496;16.756667;
1965-05-31;26.558065;20.023871;14.974194;
1965-06-30;25.333333;18.316;13.253333;
1965-07-31;25.23871;18.19871;13.222581;
1965-08-31;27.803226;20.509032;14.574194;
1965-09-30;29.75;22.572;17.056667;
1965-10-31;25.43871;20.32129;16.935484;
1965-11-30;26.416667;20.888;17.016667;
1965-12-31;27.33871;21.408387;17.36129;
1966-01-31;26.683871;20.989677;17.441935;
1966-02-28;25.9;21.012857;17.45;
1966-03-31;26.825806;21.009677;16.929032;
1966-04-30;26.22;20.128;16.07;
1966-05-31;24.819355;19.116774;15;
1966-06-30;25.056667;17.864;12.253333;
1966-07-31;24.858065;17.958065;12.745161;
1966-08-31;27.5;20.005806;13.912903;
1966-09-30;27.923333;21.095333;15.593333;
1966-10-31;28.180645;21.685806;17.354839;
1966-11-30;26.386667;20.804;16.78;
1966-12-31;26.5;21.154839;17.780645;
1967-01-31;27.496774;21.511613;17.570968;
1967-02-28;27.271429;21.317143;17.678571;
1967-03-31;27.145161;21.216774;17.467742;
1967-04-30;26.333333;20.438;16.73;
1967-05-31;25.73871;19.239355;14.4;
1967-06-30;25.526667;18.659333;13.823333;
1967-07-31;25.306452;18.349677;12.925806;
1967-08-31;27.319355;20.193548;14.432258;
1967-09-30;29.1;22.266;17.296667;
1967-10-31;28.603226;22.339355;17.490323;
1967-11-30;26.086667;20.544;17.23;
1967-12-31;25.445161;20.363871;17.219355;
1968-01-31;27.545161;21.349032;17.145161;
1968-02-29;23.486207;19.36069;16.889655;
1968-03-31;27.474194;21.193548;16.790323;
1968-04-30;26.303333;20.246667;16.05;
1968-05-31;24.33871;17.676774;12.674194;
1968-06-30;23.383333;16.567333;11.106667;
1968-07-31;24.045161;17.111613;11.477419;
1968-08-31;25.845161;18.965806;13.435484;
1968-09-30;27.096667;20.516;15.536667;
1968-10-31;27.903226;21.709032;17.225806;
1968-11-30;26.78;21.549333;17.773333;
1968-12-31;25.43871;20.200645;16.570968;
1969-01-31;28.6;21.826154;17.66;
