Nome: CAMPO GRANDE
Codigo Estacao: 83611
Latitude: -20.447252
Longitude: -54.722641
Altitude: 528.43
Situacao: Desativada
Data Inicial: 1932-12-31
Data Final: 2009-09-17
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;null;null;20.016129;
1961-02-28;null;null;19.864286;
1961-03-31;null;null;19.06129;
1961-04-30;null;null;18.386667;
1961-05-31;null;null;15.764516;
1961-06-30;null;null;14.623333;
1961-07-31;null;null;14.66129;
1961-08-31;null;null;17.377419;
1961-09-30;null;null;18.51;
1961-10-31;null;null;18.570968;
1961-11-30;null;null;19.786667;
1961-12-31;null;null;20.045161;
1962-01-31;null;null;19.825806;
1962-02-28;null;null;19.717857;
1962-03-31;null;null;18.893548;
1962-04-30;null;null;17.23;
1962-05-31;null;null;14.106452;
1962-06-30;null;null;11.966667;
1962-07-31;null;null;9.429032;
1962-08-31;null;null;14.258065;
1962-09-30;null;null;17.516667;
1962-10-31;null;null;16.222581;
1962-11-30;null;null;17.856667;
1962-12-31;null;null;19.909677;
1963-01-31;null;null;19.66129;
1963-02-28;null;null;19.025;
1963-03-31;null;null;18.751613;
1963-04-30;null;null;15.89;
1963-05-31;null;null;13.490323;
1963-06-30;null;null;12.48;
1963-07-31;null;null;13.164516;
1963-08-31;null;null;17.532258;
1963-09-30;null;null;19.06;
1963-10-31;null;null;20.058065;
1963-11-30;null;null;19.903333;
1963-12-31;null;null;19.870968;
1964-01-31;null;null;20.358065;
1964-02-29;null;null;20.408333;
1964-03-31;null;null;20.225806;
1964-04-30;null;null;19.43;
1964-05-31;null;null;14.409677;
1964-06-30;null;null;13.77;
1964-07-31;null;null;11.654839;
1964-08-31;null;null;16.46129;
1964-09-30;null;null;17.393333;
1964-10-31;null;null;17.345161;
1964-11-30;null;null;17.78;
1964-12-31;null;null;19.3;
1965-01-31;null;null;19.577419;
1965-02-28;null;null;10.514286;
1965-03-31;null;null;17.222581;
1965-04-30;null;null;18.073333;
1965-05-31;null;null;15.970968;
1965-06-30;null;null;15.326667;
1965-07-31;null;null;14.003226;
1965-08-31;null;null;15.43871;
1965-09-30;null;null;18.096667;
1965-10-31;null;null;18.319355;
1965-11-30;null;null;14.663333;
1965-12-31;null;null;20.9;
1966-01-31;null;null;20.322581;
1966-02-28;null;null;21.021429;
1966-03-31;null;null;19.590323;
1966-04-30;null;null;17.426667;
1966-05-31;null;null;16.083871;
1966-06-30;null;null;15.973333;
1966-07-31;null;null;14.974194;
1966-08-31;null;null;13.935484;
1966-09-30;null;null;15.756667;
1966-10-31;null;null;19.341935;
1966-11-30;null;null;19.08;
1966-12-31;null;null;20.467742;
1967-01-31;null;null;null;
1967-02-28;null;null;null;
1967-03-31;null;null;null;
1967-04-30;null;null;null;
1967-05-31;null;null;null;
1967-06-30;null;null;null;
1967-07-31;null;null;null;
1967-08-31;null;null;null;
1967-09-30;null;null;null;
1967-10-31;null;null;null;
1967-11-30;null;null;null;
1967-12-31;null;null;null;
1968-01-31;null;null;null;
1968-02-29;null;null;null;
1968-03-31;null;null;null;
1968-04-30;null;null;null;
1968-05-31;null;null;null;
1968-06-30;null;null;null;
1968-07-31;null;null;null;
1968-08-31;null;null;null;
1968-09-30;null;null;null;
1968-10-31;null;null;null;
1968-11-30;null;null;null;
1968-12-31;null;null;null;
1969-01-31;null;null;null;
1969-02-28;null;null;null;
1969-03-31;null;null;null;
1969-04-30;null;null;null;
1969-05-31;null;null;null;
1969-06-30;null;null;null;
1969-07-31;null;null;null;
1969-08-31;null;null;null;
1969-09-30;null;null;null;
1969-10-31;null;null;null;
1969-11-30;null;null;null;
1969-12-31;null;null;null;
1970-01-31;null;null;null;
1970-02-28;null;null;null;
1970-03-31;null;null;null;
1970-04-30;null;null;null;
1970-05-31;null;null;null;
1970-06-30;null;null;null;
1970-07-31;null;null;null;
1970-08-31;null;null;null;
1970-09-30;null;null;null;
1970-10-31;null;null;null;
1970-11-30;null;null;null;
1970-12-31;null;null;null;
1971-01-31;null;null;null;
1971-02-28;null;null;null;
1971-03-31;null;null;null;
1971-04-30;null;null;null;
1971-05-31;null;null;null;
1971-06-30;null;null;null;
1971-07-31;null;null;null;
1971-08-31;null;null;null;
1971-09-30;null;null;null;
1971-10-31;null;null;null;
1971-11-30;null;null;null;
1971-12-31;null;null;null;
1972-01-31;null;null;null;
1972-02-29;null;null;null;
1972-03-31;null;null;null;
1972-04-30;null;null;null;
1972-05-31;null;null;null;
1972-06-30;null;null;null;
1972-07-31;null;null;null;
1972-08-31;null;null;null;
1972-09-30;null;null;null;
1972-10-31;null;null;null;
1972-11-30;null;null;null;
1972-12-31;null;null;null;
1973-01-31;null;null;null;
1973-02-28;null;null;null;
1973-03-31;null;null;null;
1973-04-30;null;null;null;
1973-05-31;null;null;null;
1973-06-30;27.408;null;15.503333;
1973-07-31;25.574194;null;13.341935;
1973-08-31;null;null;14.554839;
1973-09-30;29.937931;null;17.71;
1973-10-31;29.874194;null;19.125806;
1973-11-30;29.251724;null;19.366667;
1973-12-31;29.358065;null;20.506452;
1974-01-31;null;null;21.274194;
1974-02-28;null;null;20.760714;
1974-03-31;null;null;20.035484;
1974-04-30;null;null;18.073333;
1974-05-31;null;null;14.390323;
1974-06-30;null;null;15.57;
1974-07-31;null;null;13.903226;
1974-08-31;null;null;15.554839;
1974-09-30;null;null;16.923333;
1974-10-31;null;null;17.312903;
1974-11-30;null;null;17.731034;
1974-12-31;null;null;20.458065;
1975-01-31;31.258065;24.824828;19.758621;
1975-02-28;29.703571;24.574783;21.3;
1975-03-31;31.074194;24.078065;19.312903;
1975-04-30;28.993333;21.876552;16.586207;
1975-05-31;26.993548;19.140645;13.232258;
1975-06-30;27.66;18.38;11.056667;
1975-07-31;27.463333;19.200714;15.255172;
1975-08-31;31.051613;22.775484;17.116129;
1975-09-30;32.06;24.509286;18.85;
1975-10-31;30.758065;23.568462;17.907692;
1975-11-30;29.14;23.796667;19.441667;
1975-12-31;29.63871;24.158621;20.203448;
1976-01-31;30.451613;24.751613;20.877419;
1976-02-29;29.551724;23.895172;19.993103;
1976-03-31;29.570968;23.089032;18.532258;
1976-04-30;28.45;21.388667;16.203333;
1976-05-31;25.854839;19.730323;15.364516;
1976-06-30;24.913333;18.436667;13.5;
1976-07-31;27.045161;19.224516;14.212903;
1976-08-31;28.064516;20.461935;15.43871;
1976-09-30;26.236667;20.095333;15.613333;
1976-10-31;30.119355;23.303226;17.935484;
1976-11-30;29.23;23.062;18.23;
1976-12-31;29.096774;24.054194;20.225806;
1977-01-31;29.064516;24.232903;20.990323;
1977-02-28;31.432143;24.765;20.75;
1977-03-31;31.203226;24.913548;20.906452;
1977-04-30;28.36;21.761333;17.216667;
1977-05-31;27.374194;19.928387;15.077419;
1977-06-30;26.933333;19.552;14.686667;
1977-07-31;29.690323;22.643226;17.96129;
