Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;31.232258;26.381935;23.203226;
1961-02-28;32.342857;26.535;22.982143;
1961-03-31;32.9;26.7;22.970968;
1961-04-30;33.006667;26.646;22.843333;
1961-05-31;32.122581;25.503226;20.841935;
1961-06-30;29.956667;22.782;17.45;
1961-07-31;31.441935;23.337419;17.019355;
1961-08-31;36.354839;27.72129;20.435484;
1961-09-30;36.073333;28.904;22.926667;
1961-10-31;34.341935;27.686452;22.777419;
1961-11-30;34.073333;27.372667;23.236667;
1961-12-31;32.33871;26.923226;23.23871;
1962-01-31;31.358065;26.432258;23.148387;
1962-02-28;33.032143;26.847857;23.482143;
1962-03-31;33.583871;27.183226;22.883871;
1962-04-30;32.476667;26.125333;22.286667;
1962-05-31;31.409677;24.485806;19.432258;
1962-06-30;29.743333;22.358;16.696667;
1962-07-31;28.335484;20.551613;14.564516;
1962-08-31;34.012903;25.366452;18.393548;
1962-09-30;35.04;27.937333;22.986667;
1962-10-31;32.558065;26.429677;21.645161;
1962-11-30;34.8;28.485333;23.246667;
1962-12-31;31.325806;26.335484;23.3;
1963-01-31;32.148387;26.392258;22.887097;
1963-02-28;31.95;26.235714;22.821429;
1963-03-31;32.922581;26.337419;22.483871;
1963-04-30;33.223333;26.567333;22.416667;
1963-05-31;31.887097;24.754839;19.487097;
1963-06-30;31.033333;22.967333;17.04;
1963-07-31;32.658065;23.626452;16.558065;
1963-08-31;35.022581;26.74129;20.006452;
1963-09-30;35.186667;28.013333;22.333333;
1963-10-31;36.741935;29.556129;24.1;
1963-11-30;34.313333;28.103333;23.46;
1963-12-31;34.487097;28.494839;24.051613;
1964-01-31;33.332258;27.63871;23.96129;
1964-02-29;32.903448;27.462069;23.734483;
1964-03-31;32.793548;26.700645;23.277419;
1964-04-30;34.236667;27.586;23.25;
1964-05-31;31.706452;24.568387;19.606452;
1964-06-30;31.276667;23.510667;17.59;
1964-07-31;30.725806;22.704516;16.612903;
1964-08-31;35.735484;27.694839;20.977419;
1964-09-30;34.273333;27.464;22.35;
1964-10-31;32.66129;26.443871;21.880645;
1964-11-30;33.22;27.01;22.533333;
1964-12-31;32.003226;26.435484;22.425806;
1965-01-31;32.432258;26.572903;22.867742;
1965-02-28;32.378571;26.544286;23.125;
1965-03-31;31.325806;25.355484;21.496774;
1965-04-30;32.053333;25.904;22.11;
1965-05-31;32.067742;25.666452;21.174194;
1965-06-30;32.78;25.095333;19.266667;
1965-07-31;31.532258;23.960645;18.051613;
1965-08-31;34.590323;26.332903;19.790323;
1965-09-30;34.833333;27.441333;21.933333;
1965-10-31;33.858065;27.190323;22.780645;
1965-11-30;33.233333;27.069333;22.683333;
1965-12-31;32.990323;27.085161;23.345161;
1966-01-31;33.43871;27.303226;23.464516;
1966-02-28;32;26.331429;23.082143;
1966-03-31;33.074194;26.907097;23.022581;
1966-04-30;33.183333;26.453333;21.913333;
1966-05-31;31.674194;25.489032;21.56129;
1966-06-30;32.326667;24.683333;18.616667;
1966-07-31;32.625806;24.606452;18.235484;
1966-08-31;32.790323;24.323871;17.245161;
1966-09-30;33.853333;26.828667;21.17;
1966-10-31;34.290323;28.074839;23.519355;
1966-11-30;34.77;28.118;23.496667;
1966-12-31;34.280645;28.435484;24.164516;
1967-01-31;33.644444;27.485556;23.627778;
1967-02-28;32.439286;26.149286;22.714286;
1967-03-31;32.754839;26.366452;22.954839;
1967-04-30;31.83;25.638667;21.853333;
1967-05-31;33.403226;23.658065;17.464516;
1967-06-30;30.74;22.020667;16.35;
1967-07-31;33.283871;22.369677;15.374194;
1967-08-31;35.687097;25.114839;17.606452;
1967-09-30;36.376667;28.025333;21.756667;
1967-10-31;34.941935;27.834194;22.96129;
1967-11-30;33.356667;26.878667;22.476667;
1967-12-31;33.13871;26.852903;22.419355;
1968-01-31;32.277419;26.191613;22.409677;
1968-02-29;31.078571;25.622143;22.52069;
1968-03-31;32.477419;25.978065;22.054839;
1968-04-30;30.583333;23.719333;19.19;
1968-05-31;29.73871;20.933548;14.970968;
1968-06-30;32.27;21.782667;14.88;
1968-07-31;33.274194;22.025806;14.16129;
1968-08-31;34.358065;24.916774;17.993548;
1968-09-30;32.223333;24.492667;18.486667;
1968-10-31;33.935484;27.007742;22.203226;
1968-11-30;34.963333;28.036667;22.703333;
1968-12-31;31.354839;26.122581;22.532258;
1969-01-31;32.706452;26.583226;22.432258;
1969-02-28;32.789286;26.607857;22.728571;
1969-03-31;33.696774;26.72;22.46129;
1969-04-30;33.106667;26.112667;20.67;
1969-05-31;32.93871;24.550323;18.796774;
1969-06-30;31.493333;23.03;17.243333;
1969-07-31;32.658065;21.825161;14.2;
1969-08-31;33.935484;23.816774;15.822581;
1969-09-30;36.083333;28.036667;21.593333;
1969-10-31;33.670968;26.936774;22.03871;
1969-11-30;33.8;27.434;23.093333;
1969-12-31;32.987097;26.937419;22.677419;
1970-01-31;33.180645;27.190323;23.174194;
1970-02-28;32.492857;26.332143;22.689286;
1970-03-31;32.919355;26.466452;22.167742;
1970-04-30;33.226667;26.299333;21.76;
1970-05-31;31.364516;23.581935;18.509677;
1970-06-30;32.093333;22.742;16.773333;
1970-07-31;31.693548;21.360645;14.454839;
1970-08-31;34.577419;23.564516;15.454839;
1970-09-30;35.173333;27.110667;20.743333;
1970-10-31;34.390323;27.520645;22.422581;
1970-11-30;34.94;27.770667;22.206667;
1970-12-31;33.625806;27.154839;22.983871;
1971-01-31;32.719355;26.572;22.716667;
1971-02-28;32.246429;25.585714;21.989286;
1971-03-31;32.596774;26.055484;22.6;
1971-04-30;32.33;24.877333;20.613333;
1971-05-31;29.606452;22.777419;18.719355;
1971-06-30;29.066667;20.921333;15.793333;
1971-07-31;32.016129;21.880645;15.445161;
1971-08-31;33.658065;23.209032;15.974194;
1971-09-30;35.496667;27.092667;20.983333;
1971-10-31;32.864516;25.903226;21.093548;
1971-11-30;32.803333;26.440667;22.44;
1971-12-31;32.829032;26.644516;22.554839;
1972-01-31;32.46129;26.076774;22.293548;
1972-02-29;31.737931;25.882069;22.524138;
1972-03-31;33.296774;26.572903;22.403226;
1972-04-30;31.51;23.987333;19.106667;
1972-05-31;33.841935;24.950323;19.651613;
1972-06-30;32.82;23.253333;17.566667;
1972-07-31;31.883871;22.15871;15.932258;
1972-08-31;33.854839;24.630323;18.077419;
1972-09-30;35.263333;27.193333;21.296667;
1972-10-31;35.022581;27.515484;22.293548;
1972-11-30;33.49;27.294;23.5;
1972-12-31;33.612903;27.084516;23.303226;
1973-01-31;34.516129;27.674194;23.635484;
1973-02-28;33.475;27.057143;23.610714;
1973-03-31;34.016129;27.378065;23.5;
1973-04-30;33.896667;26.886;22.896667;
1973-05-31;31.083871;23.394194;18.43871;
1973-06-30;32.57;23.953333;18.556667;
1973-07-31;30.306452;21.243871;14.877419;
1973-08-31;32.396774;24.418065;17.335484;
1973-09-30;34.026667;27.174667;21.713333;
1973-10-31;34.13871;27.627097;23.577419;
1973-11-30;32.346667;26.708;23.036667;
1973-12-31;32.545161;26.558065;23.009677;
1974-01-31;32.158065;25.978065;22.580645;
1974-02-28;32.742857;26.369286;22.496429;
1974-03-31;31.158065;25.569032;22.551613;
1974-04-30;30.806667;24.998667;21.926667;
1974-05-31;30.73871;23.725161;18.893548;
1974-06-30;31.756667;24.408;19.34;
1974-07-31;31.722581;22.54;15.603226;
1974-08-31;34.109677;26.04129;19.619355;
1974-09-30;33.206667;26.162667;20.91;
1974-10-31;34.274194;27.23871;22.232258;
1974-11-30;34.026667;27.497931;22.258621;
1974-12-31;31.935484;26.263226;22.96129;
1975-01-31;32.787097;26.533548;22.648387;
1975-02-28;32.532143;26.379286;22.753571;
1975-03-31;33.06129;26.211613;22.63871;
1975-04-30;32.173333;25.931333;22.216667;
1975-05-31;30.467742;23.518065;18.948387;
1975-06-30;31.623333;23.187333;17.36;
1975-07-31;31.264516;22.447742;15.090323;
1975-08-31;33.977419;25.382581;18.63871;
1975-09-30;35.316667;27.836;22.27;
1975-10-31;34.119355;27.242581;21.945161;
1975-11-30;31.87;26.129333;22.63;
1975-12-31;32.503226;26.350323;22.467742;
1976-01-31;33.332258;26.875484;22.622581;
1976-02-29;31.810345;26.041379;22.589655;
1976-03-31;31.803226;25.334839;21.587097;
1976-04-30;31.603333;25.242667;21.316667;
1976-05-31;29.987097;24.110323;20.467742;
1976-06-30;28.863333;21.740667;16.863333;
1976-07-31;31.880645;22.965161;15.987097;
1976-08-31;34.125806;25.443871;18.677419;
1976-09-30;32.923333;25.354667;19.856667;
1976-10-31;33.616129;26.874194;22.158065;
1976-11-30;32.23;26.070667;22.373333;
1976-12-31;32.125806;26.282581;22.706452;
1977-01-31;31.754839;26.112903;23.13871;
1977-02-28;32.510714;25.702857;22.039286;
1977-03-31;33.803226;26.823871;23.045161;
1977-04-30;31.393333;25.031333;21.183333;
1977-05-31;29.896774;22.956774;18.703226;
1977-06-30;30.836667;23.620667;19.07;
1977-07-31;33.596774;24.744516;18.541935;
1977-08-31;33.377419;25.040645;18.66129;
1977-09-30;33.343333;26.112;21.283333;
1977-10-31;32.987097;26.252903;21.619355;
1977-11-30;33.19;26.683333;22.99;
1977-12-31;32.36129;26.500645;23.13871;
1978-01-31;32.483871;26.482581;22.990323;
1978-02-28;33.260714;27.135;23.421429;
1978-03-31;33.533333;26.596552;22.543333;
1978-04-30;32.093333;26.315333;22.36;
1978-05-31;30.522581;24.307742;20.012903;
1978-06-30;31.17;23.371333;17.93;
1978-07-31;33.364516;25.094839;19.209677;
1978-08-31;31.470968;22.792258;16.245161;
1978-09-30;33.503333;26.256;21.296667;
1978-10-31;33.822581;27.463871;22.767742;
1978-11-30;32.463333;26.834667;23.183333;
1978-12-31;31.625806;26.656129;23.422581;
1979-01-31;31.458065;26.397419;23.5;
1979-02-28;32.460714;26.679286;23.303571;
1979-03-31;32.183871;26.35871;23.067742;
1979-04-30;31.756667;25.348667;21.373333;
1979-05-31;31.209677;24.634839;20.516129;
1979-06-30;29.96;21.816;16.326667;
1979-07-31;32.096774;23.734194;17.974194;
1979-08-31;35.264516;26.24129;19.519355;
