Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Fechada
Data Inicial: 1930-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;26.525806;20.342581;16.774194;
1961-02-28;26.428571;20.395;16.964286;
1961-03-31;24.880645;19.14129;15.841935;
1961-04-30;23.553333;17.748667;14.44;
1961-05-31;21.03871;14.703871;10.774194;
1961-06-30;19.423333;13.778667;10.02;
1961-07-31;20.554839;13.992903;10.012903;
1961-08-31;23.112903;15.723871;10.941935;
1961-09-30;23.176667;17.134;13.64;
1961-10-31;24.829032;18.309032;13.941935;
1961-11-30;26.016667;19.232;14.796667;
1961-12-31;25.319355;19.523226;16.006452;
1962-01-31;25.074194;19.012903;15.583871;
1962-02-28;24.760714;19.132857;15.525;
1962-03-31;25.580645;19.536774;15.693548;
1962-04-30;22.086667;16.186667;12.463333;
1962-05-31;19.703226;13.287097;8.983871;
1962-06-30;18.046667;11.137333;6.053333;
1962-07-31;17.23871;11.105161;7.03871;
1962-08-31;21.141935;13.492258;8.283871;
1962-09-30;21.493333;15.123333;11.126667;
1962-10-31;19.735484;14.315484;10.932258;
1962-11-30;24.443333;17.912667;13.4;
1962-12-31;24.741935;18.740645;14.967742;
1963-01-31;27.441935;21.072258;17.380645;
1963-02-28;25.860714;20.028571;16.639286;
1963-03-31;26.432258;20.512258;17.370968;
1963-04-30;25.216667;17.186;12.11;
1963-05-31;21.967742;14.31871;9.13871;
1963-06-30;19.433333;12.438667;7.766667;
1963-07-31;21.451613;14.119355;9.470968;
1963-08-31;22.4;14.853548;9.693548;
1963-09-30;25.806667;18.100667;13.173333;
1963-10-31;23.306452;17.160645;13.367742;
1963-11-30;25.306667;19.105333;15.13;
1963-12-31;24.525806;18.408387;14.706452;
1964-01-31;26.458065;19.738065;15.870968;
1964-02-29;26.203448;20.097241;16.6;
