Nome: FORTALEZA
Codigo Estacao: 82397
Latitude: -3.81527777
Longitude: -38.53777777
Altitude: 29.89
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;30.067742;27.163871;24.725806;
1961-02-28;29.064286;26.031429;22.871429;
1961-03-31;29.690323;26.487742;23.348387;
1961-04-30;29.65;26.402;23.093333;
1961-05-31;29.867742;26.650968;23.329032;
1961-06-30;29.736667;26.417333;22.73;
1961-07-31;29.148387;25.874839;22.419355;
1961-08-31;29.193548;25.852258;22.177419;
1961-09-30;29.083333;26.154;22.98;
1961-10-31;29.467742;26.719355;23.464516;
1961-11-30;29.773333;26.752;23.94;
1961-12-31;29.703226;26.945806;24.432258;
1962-01-31;30.422581;27.269032;24.096774;
1962-02-28;30.539286;27.406429;24.15;
1962-03-31;29.880645;26.655484;23.074194;
1962-04-30;29.706667;26.48;22.846667;
1962-05-31;30.374194;26.980645;22.951613;
1962-06-30;30.123333;26.592667;22.62;
1962-07-31;29.870968;26.469677;22.645161;
1962-08-31;29.9;26.432903;22.290323;
1962-09-30;29.383333;26.316;23.043333;
1962-10-31;29.819355;26.855484;23.935484;
1962-11-30;29.826667;26.988;24.42;
1962-12-31;30.222581;27.33871;25.090323;
1963-01-31;null;null;23.509677;
1963-02-28;null;null;23.339286;
1963-03-31;null;null;22.432258;
1963-04-30;null;null;22.78;
1963-05-31;null;null;22.641935;
1963-06-30;null;null;22.626667;
1963-07-31;null;null;22.219355;
1963-08-31;null;null;22.745161;
1963-09-30;null;null;22.823333;
1963-10-31;null;null;24.087097;
1963-11-30;29.844444;27.256667;25.266667;
1963-12-31;30.03871;27.08129;24.819355;
1964-01-31;30.019355;26.877419;24.429032;
1964-02-29;29.634483;26.466207;23.965517;
1964-03-31;29.819355;26.816129;23.806452;
1964-04-30;29.256667;26.163333;23.576667;
1964-05-31;29.870968;26.624516;23.258065;
1964-06-30;29.646667;26.290667;23.07;
1964-07-31;29.003226;25.834839;22.6;
1964-08-31;29.535484;26.250323;22.822581;
1964-09-30;28.643333;25.760667;22.98;
1964-10-31;29.077419;26.535484;24.367742;
1964-11-30;29.46;26.873333;24.733333;
1964-12-31;29.645161;26.991613;24.96129;
1965-01-31;29.312903;26.480645;24.135484;
1965-02-28;30.378571;27.61;25.292857;
1965-03-31;30.116129;27.170323;24.483871;
1965-04-30;28.763333;25.787333;23.26;
1965-05-31;29.383871;26.18;23.2;
1965-06-30;28.953333;25.721333;22.293333;
1965-07-31;29.025806;25.917419;22.206452;
1965-08-31;29.1;25.991613;22.522581;
1965-09-30;29.29;26.17;23.2;
1965-10-31;29.525806;26.78129;24.477419;
1965-11-30;30.466667;26.974;24.053333;
1965-12-31;31.025806;27.236774;24.506452;
1966-01-31;31.390323;27.487097;24.873333;
1966-02-28;31.207143;27.382143;24.4;
1966-03-31;30.764516;27.242581;24.154839;
1966-04-30;30.276667;26.676667;23.586667;
1966-05-31;29.916129;26.378065;23.703226;
1966-06-30;29.883333;25.79;22.626667;
1966-07-31;29.348387;25.517419;22.274194;
1966-08-31;30;25.797419;22.296774;
1966-09-30;29.962069;26.188276;22.993333;
1966-10-31;30.945161;26.890968;23.745161;
1966-11-30;31.216667;27.18;24.01;
1966-12-31;31.751613;27.851613;24.925806;
1967-01-31;31.777419;27.866452;24.890323;
1967-02-28;29.782143;26.178571;23.217857;
1967-03-31;29.083871;25.606452;22.796774;
1967-04-30;29.083333;25.64;22.693333;
1967-05-31;29.480645;25.730968;22.887097;
1967-06-30;29.22;25.190667;22.323333;
1967-07-31;28.977419;24.80129;21.722581;
1967-08-31;29.23871;25.414194;22.009677;
1967-09-30;29.696667;25.946;22.98;
1967-10-31;30.429032;26.472903;23.241935;
1967-11-30;30.316667;26.415333;23.296667;
1967-12-31;30.416129;26.626452;23.603226;
1968-01-31;30.787097;26.886452;23.793548;
1968-02-29;29.848276;26.611034;23.765517;
1968-03-31;28.774194;25.222581;22.516667;
1968-04-30;29.433333;25.766;22.846667;
1968-05-31;28.954839;25.189677;22.351613;
1968-06-30;29.7;25.448667;22.063333;
1968-07-31;29.767742;25.170968;21.683871;
1968-08-31;30.867742;26.023871;22.187097;
1968-09-30;30.936667;26.791333;23.263333;
1968-10-31;31.232258;27.302581;24.096774;
1968-11-30;31.26;27.541333;24.62;
1968-12-31;31.193548;27.429032;24.558065;
1969-01-31;31.174194;27.451613;24.380645;
1969-02-28;31.771429;27.920714;24.807143;
1969-03-31;30.467742;26.983871;24.116129;
1969-04-30;30.283333;26.549333;23.772414;
1969-05-31;30.490323;26.636774;23.677419;
1969-06-30;29.676667;26.106;23.14;
1969-07-31;29.445161;25.573548;22.53871;
1969-08-31;29.758065;25.825806;22.535484;
1969-09-30;30.14;26.552;23.38;
1969-10-31;30.56129;26.829677;24.009677;
1969-11-30;30.956667;27.243333;24.566667;
1969-12-31;31.370968;27.561935;24.567742;
1970-01-31;30.925806;27.589677;25.158065;
1970-02-28;31.132143;27.608571;24.789286;
1970-03-31;30.477419;26.673548;23.670968;
1970-04-30;29.973333;26.566667;23.763333;
1970-05-31;30.56129;26.832903;23.658065;
1970-06-30;29.906667;26.262667;23.14;
1970-07-31;30.593548;26.265806;22.474194;
1970-08-31;30.554839;26.52129;22.793548;
1970-09-30;30.803333;27.017333;23.953333;
1970-10-31;31.151613;27.230968;24.080645;
1970-11-30;30.71;27.113333;24.17;
1970-12-31;31.5;27.601935;24.525806;
1971-01-31;null;null;null;
1971-02-28;null;null;null;
1971-03-31;null;null;null;
1971-04-30;null;null;null;
1971-05-31;null;null;null;
1971-06-30;null;null;null;
1971-07-31;null;null;null;
1971-08-31;null;null;null;
1971-09-30;null;null;null;
1971-10-31;null;null;null;
1971-11-30;null;null;null;
1971-12-31;null;null;null;
1972-01-31;null;null;null;
1972-02-29;null;null;null;
1972-03-31;null;null;null;
1972-04-30;null;null;null;
1972-05-31;null;null;null;
1972-06-30;null;null;null;
1972-07-31;null;null;null;
1972-08-31;null;null;null;
1972-09-30;null;null;null;
1972-10-31;null;null;null;
1972-11-30;null;null;null;
1972-12-31;null;null;null;
1973-01-31;30.632258;27.548387;24.658065;
1973-02-28;30.071429;26.88;24.267857;
1973-03-31;29.493548;26.382581;23.909677;
1973-04-30;29.233333;25.862;23.25;
1973-05-31;29.612903;26.147097;23.451613;
1973-06-30;29.533333;25.8;23.063333;
1973-07-31;29.103226;25.653548;22.835484;
1973-08-31;30.26129;26.349677;22.825806;
1973-09-30;30.59;26.938667;23.633333;
1973-10-31;31.667742;27.616129;24.158065;
1973-11-30;31.416667;27.75;24.796667;
1973-12-31;31.522581;27.698065;24.619355;
1974-01-31;30.016129;26.449677;23.358065;
1974-02-28;29.460714;25.773571;22.732143;
1974-03-31;28.706452;25.229032;22.658065;
1974-04-30;28.536667;25.278667;22.76;
1974-05-31;28.567742;24.930323;22.303226;
1974-06-30;29.373333;25.259333;22.37;
1974-07-31;29.712903;25.047742;21.66129;
1974-08-31;30.119355;25.550968;22.077419;
1974-09-30;30.013333;26.16;22.75;
1974-10-31;30.225806;26.592903;23.603226;
1974-11-30;30.633333;26.936667;23.92;
1974-12-31;29.951613;26.513548;23.5;
1975-01-31;30.087097;26.78129;23.870968;
1975-02-28;29.785714;26.706429;23.55;
1975-03-31;29.335484;25.883226;22.945161;
1975-04-30;29.91;26.312667;23.176667;
1975-05-31;28.970968;25.549032;22.896774;
1975-06-30;29.046667;25.818;23.113333;
1975-07-31;29.896774;25.036774;21.445161;
1975-08-31;30.851613;26.146452;22.358065;
1975-09-30;31.013333;26.570667;22.993333;
1975-10-31;31.051613;27.085161;24.193548;
1975-11-30;31.02;27.308667;24.27;
1975-12-31;29.964516;26.701935;23.735484;
1976-01-31;30.612903;27.044516;24.1;
1976-02-29;28.927586;25.927586;23.034483;
1976-03-31;29.283871;25.952258;22.9;
1976-04-30;29.686667;26.069333;23.12;
1976-05-31;30.054839;26.336129;23.377419;
1976-06-30;29.613333;25.952;22.533333;
1976-07-31;29.8;25.817419;22.23871;
1976-08-31;29.993333;26.149333;22.845161;
1976-09-30;29.986667;26.424667;23.463333;
1976-10-31;29.983871;26.584516;23.854839;
1976-11-30;30.346667;26.942;24.066667;
1976-12-31;31.1;27.496774;24.46129;
1977-01-31;29.545161;26.540645;23.829032;
1977-02-28;29.55;26.475714;23.446429;
1977-03-31;29.641935;26.443226;23.535484;
1977-04-30;29.88;26.31;23.26;
1977-05-31;29.893548;26.12129;23.16129;
1977-06-30;29.13;25.266;22.366667;
1977-07-31;29.096774;25.08129;22.009677;
1977-08-31;29.46129;25.815484;22.412903;
1977-09-30;30.556667;26.627333;23.083333;
1977-10-31;30.625806;27.12129;24.429032;
1977-11-30;31.003333;27.532667;25.056667;
1977-12-31;31.229032;27.807097;25.303226;
1978-01-31;30.745161;27.453548;24.612903;
1978-02-28;30.496429;27.283571;24.560714;
1978-03-31;29.877419;26.665806;23.73871;
1978-04-30;29.733333;26.559333;23.586667;
1978-05-31;29.8;26.372903;23.458065;
1978-06-30;29.383333;25.456667;22.526667;
1978-07-31;29.222581;25.44;22.580645;
1978-08-31;29.803226;25.973548;22.416129;
1978-09-30;30.11;26.452;23.123333;
1978-10-31;30.554839;26.90129;23.790323;
1978-11-30;30.6;27.169333;24.446667;
1978-12-31;30.254839;27.048387;24.329032;
1979-01-31;30.893333;27.188966;24.373333;
1979-02-28;31.15;27.236522;23.720833;
1979-03-31;30.617647;26.84;23.8;
1979-04-30;30.669231;26.87;23.884615;
1979-05-31;30.113333;26.091034;23.286667;
1979-06-30;30.292857;25.679259;22.110714;
1979-07-31;30.44;25.529412;22.236667;
1979-08-31;30.170968;null;23.067742;
1979-09-30;30.44;null;23.596667;
1979-10-31;31.006452;null;23.941935;
1979-11-30;31.093333;27.276429;24.116667;
1979-12-31;31.432258;27.426;24.696774;
1980-01-31;30.633333;27.176;24.690323;
1980-02-29;29.548276;26.189333;23.534483;
1980-03-31;29.922581;26.4016;23.654839;
1980-04-30;31.333333;null;24.54;
1980-05-31;31.6;null;24.296774;
1980-06-30;30.306667;26.341333;23.913333;
1980-07-31;30.106452;25.93125;23.109677;
1980-08-31;30.764516;null;23.580645;
1980-09-30;30.403333;null;24.073333;
