Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 1937-07-10
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;27.087097;22.463871;19.335484;
1961-02-28;28.592857;23.185714;19.467857;
1961-03-31;30.135484;23.787742;19.025806;
1961-04-30;30.66;23.724667;17.816667;
1961-05-31;29.280645;22.109677;15.777419;
1961-06-30;27.99;20.467333;13.366667;
1961-07-31;28.564516;19.8;10.848387;
1961-08-31;31.041935;21.948387;12.229032;
1961-09-30;35.303333;25.850667;17.21;
1961-10-31;31.754839;25.28;19.3;
1961-11-30;30.883333;24.636667;19.623333;
1961-12-31;27.583871;22.541935;19.012903;
1962-01-31;28.322581;23.418065;20.119355;
1962-02-28;29.335714;23.457143;19.810714;
1962-03-31;28.793548;23.241935;19.090323;
1962-04-30;30.256667;22.878;17.036667;
1962-05-31;28.287097;20.43871;13.754839;
1962-06-30;28.186667;19.228667;11.316667;
1962-07-31;28.790323;19.118065;10.012903;
1962-08-31;31.351613;22.090323;13.145161;
1962-09-30;32.23;24.632667;18.433333;
1962-10-31;29.287097;23.003226;18.777419;
1962-11-30;30.483333;24.055333;18.563333;
1962-12-31;26.612903;22.55871;19.858065;
1963-01-31;29.722581;23.465806;19.287097;
1963-02-28;29.525;23.379286;19.257143;
1963-03-31;31.570968;24.224516;18.377419;
1963-04-30;30.21;23.145333;17.633333;
1963-05-31;28.406452;19.865161;12.277419;
1963-06-30;27.893333;18.334667;9.683333;
1963-07-31;28.832258;19.147097;10.335484;
1963-08-31;31.616129;21.521935;12.554839;
1963-09-30;33.55;24.622;16.343333;
1963-10-31;34.319355;26.695484;19.83871;
1963-11-30;32.013333;25.420667;20.053333;
1963-12-31;30.441935;24.514839;18.741935;
1964-01-31;27.619355;23.063871;20.103226;
1964-02-29;29.127586;23.71931;20.47931;
1964-03-31;30.025806;23.768387;18.758065;
1964-04-30;29.883333;23.43;17.96;
1964-05-31;27.46129;21.076129;16.029032;
1964-06-30;27.723333;18.428;10.55;
1964-07-31;27.651613;19.28;11.851613;
1964-08-31;30.458065;22.529677;14.174194;
1964-09-30;31.73;24.249333;17.193333;
1964-10-31;28.703226;22.604516;18.435484;
1964-11-30;27.63;22.508667;18.59;
1964-12-31;27.864516;22.746452;19.219355;
1965-01-31;28.296774;22.865161;19.119355;
1965-02-28;29.203571;23.401429;19.585714;
1965-03-31;28.422581;22.507742;18.745161;
1965-04-30;29.413333;22.877333;18.17;
1965-05-31;30.045161;22.209677;15.932258;
1965-06-30;29.116667;20.576;13.506667;
1965-07-31;28.806452;20.692258;13.532258;
1965-08-31;31.290323;22.412258;14.396774;
1965-09-30;33.006667;25.067333;17.55;
1965-10-31;29.022581;23.48129;19.587097;
1965-11-30;29.31;23.819333;19.396667;
1965-12-31;29.503226;23.470968;19.345161;
1966-01-31;29.090323;23.645806;19.43871;
1966-02-28;28.507143;23.334286;19.642857;
1966-03-31;29.967742;23.865806;19.132258;
1966-04-30;29.53;22.587333;16.61;
1966-05-31;28.309677;21.820645;16.696774;
1966-06-30;28.893333;19.592667;11.52;
1966-07-31;29.003226;21.021935;13.635484;
1966-08-31;31.2;22.348387;14.248387;
1966-09-30;31.723333;24.019333;17.076667;
1966-10-31;31.109677;24.416774;19.564516;
1966-11-30;30.12;23.586;18.906667;
1966-12-31;29.232258;23.639355;19.929032;
1967-01-31;29.580645;23.469032;19.577419;
