Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;30.516129;25.963871;22.693548;
1961-02-28;30.010714;25.260714;22.064286;
1961-03-31;30.990323;26.233548;23.032258;
1961-04-30;31.193333;26.106;22.93;
1961-05-31;30.919355;26.1;22.822581;
1961-06-30;30.84;25.802667;22.253333;
1961-07-31;32.351613;26.42129;21.780645;
1961-08-31;34.470968;27.72;22.387097;
1961-09-30;34.196667;27.947333;22.576667;
1961-10-31;31.835484;26.570968;22.477419;
1961-11-30;32.576667;26.604;22.396667;
1961-12-31;30.503226;25.612903;22.309677;
1962-01-31;31.006452;25.769032;22.412903;
1962-02-28;30.321429;25.643571;22.514286;
1962-03-31;30.635484;25.807742;22.574194;
1962-04-30;30.116667;25.729333;22.886667;
1962-05-31;30.567742;26.014839;22.751613;
1962-06-30;30.82;25.837333;21.94;
1962-07-31;31.687097;26.42129;22.283871;
1962-08-31;33.080645;27.002581;22.006452;
1962-09-30;34.593333;28.368;22.973333;
1962-10-31;33.6;27.812258;23.312903;
1962-11-30;31.936667;26.744667;23.096667;
1962-12-31;31.877419;26.895484;23.245161;
1963-01-31;30.529032;25.673548;22.316129;
1963-02-28;30.107143;25.275;22.414286;
1963-03-31;30.296774;25.658065;22.6;
1963-04-30;30.67;26.003333;22.806667;
1963-05-31;31.248387;26.481935;22.929032;
1963-06-30;31.323333;26.475333;22.536667;
1963-07-31;32.551613;26.852903;22.319355;
1963-08-31;34.290323;27.947742;23.041935;
1963-09-30;35.123333;28.831333;23.816667;
1963-10-31;34.712903;28.813548;24.145161;
1963-11-30;31.916667;26.445333;22.99;
1963-12-31;31.154839;26.549677;23.419355;
1964-01-31;31.580645;26.894194;23.851613;
1964-02-29;31.055172;26.534483;23.613793;
1964-03-31;30.793548;25.940645;23.029032;
1964-04-30;31.01;25.968;23.006667;
1964-05-31;30.254839;25.736129;23.080645;
1964-06-30;31.203333;26.049333;22.583333;
1964-07-31;31.970968;26.412258;22.229032;
1964-08-31;33.36129;27.290323;22.787097;
1964-09-30;33.553333;27.592667;22.92;
1964-10-31;33.106452;27.330323;22.954839;
1964-11-30;32.633333;27.106;23.046667;
1964-12-31;30.709677;25.82129;22.654839;
1965-01-31;30.496774;25.908387;22.948387;
1965-02-28;30.7;25.912143;22.803571;
1965-03-31;29.548387;25.440645;22.9;
1965-04-30;30.036667;25.692;23.006667;
1965-05-31;30.145161;25.783226;23.016129;
1965-06-30;31.353333;26.385333;22.786667;
1965-07-31;32.093548;26.793548;22.564516;
1965-08-31;33.674194;27.783226;22.812903;
1965-09-30;34.726667;28.812667;24.096667;
1965-10-31;34.351613;28.765161;24.551613;
1965-11-30;32.28;27.540667;24.18;
1965-12-31;31.641935;27.152903;23.903226;
1966-01-31;30.564516;26.668387;23.667742;
1966-02-28;30.964286;26.912857;23.689286;
1966-03-31;30.809677;26.219355;23.374194;
1966-04-30;30.866667;26.468;23.53;
1966-05-31;30.696774;26.311613;23.374194;
1966-06-30;31.27;26.641333;23.18;
1966-07-31;31.929032;26.848387;23.180645;
1966-08-31;32.651613;27.290323;22.851613;
1966-09-30;32.423333;26.84;23.07;
1966-10-31;34.103226;28.252903;23.670968;
1966-11-30;31.633333;26.792667;23.33;
1966-12-31;31.13871;26.545806;23.332258;
1967-01-31;29.535484;25.513548;22.96129;
1967-02-28;29.903571;25.725714;23.010714;
1967-03-31;30.080645;25.65871;22.970968;
1967-04-30;30.51;25.833333;23.093333;
1967-05-31;30.816129;26.267097;23.367742;
1967-06-30;31.386667;26.466;23.043333;
1967-07-31;32.087097;26.947742;22.632258;
1967-08-31;33.751613;27.878065;23.074194;
1967-09-30;35.096667;28.713333;23.306667;
1967-10-31;34.296774;28.249032;23.903226;
1967-11-30;32.506667;27.265333;23.696667;
1967-12-31;32.635484;27.606452;23.774194;
1968-01-31;30.46129;25.975484;22.790323;
1968-02-29;30.793103;26.285517;23.251724;
1968-03-31;30.012903;25.507097;22.470968;
1968-04-30;30.463333;25.99;23.136667;
1968-05-31;29.254839;25.120645;22.487097;
1968-06-30;31.06;26.274667;22.833333;
1968-07-31;31.9;26.538065;22.477419;
1968-08-31;32.722581;27.315484;23.077419;
1968-09-30;31.813333;26.821333;23.266667;
1968-10-31;33.164516;27.783226;23.829032;
1968-11-30;31.403333;26.610667;23.336667;
1968-12-31;31.406452;26.779355;23.364516;
1969-01-31;31.403226;26.478065;23.364516;
1969-02-28;31.628571;26.981429;23.892857;
1969-03-31;32.170968;26.69871;23.793548;
1969-04-30;31.606667;26.784667;23.756667;
1969-05-31;31.603226;27.097419;23.96129;
1969-06-30;32.213333;27.654;23.873333;
1969-07-31;31.33871;26.387742;22.580645;
1969-08-31;32.751613;27.414839;23.141935;
1969-09-30;34.076667;28.734;24.336667;
1969-10-31;33.432258;28.330323;24.332258;
1969-11-30;33.293333;28.632;24.613333;
1969-12-31;30.596774;26.547742;23.7;
1970-01-31;30.632258;26.172258;23.322581;
1970-02-28;30.589286;26.119286;23.45;
1970-03-31;30.251613;26.003871;23.454839;
1970-04-30;29.953333;26.175333;23.55;
1970-05-31;31.03871;26.533548;23.532258;
1970-06-30;31.13;26.554;23.22;
1970-07-31;31.429032;26.534194;22.9;
1970-08-31;33.054839;27.390323;23.206452;
1970-09-30;32.78;27.203333;23.223333;
1970-10-31;33.825806;28.430968;24.148387;
1970-11-30;31.686667;26.693333;23.156667;
1970-12-31;32.058065;26.977419;23.558065;
1971-01-31;29.522581;25.310968;22.541935;
1971-02-28;29.596429;25.177143;22.496429;
1971-03-31;29.941935;25.62;23.048387;
1971-04-30;30.09;25.636667;22.896667;
1971-05-31;29.935484;25.896129;22.990323;
