Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;31.422581;25.38;20.945161;
1961-02-28;31.135714;25.297143;21.389286;
1961-03-31;27.664516;22.369677;18.516129;
1961-04-30;24.206667;19.539333;16.306667;
1961-05-31;23.432258;17.697419;14.035484;
1961-06-30;20.633333;15.578667;12.053333;
1961-07-31;20.583871;15.145161;11.66129;
1961-08-31;23.63871;17.682581;13.603226;
1961-09-30;21.583333;17.691333;14.96;
1961-10-31;26.254839;21.340645;17.580645;
1961-11-30;28.19;22.663333;18.63;
1961-12-31;29.764516;24.116774;19.948387;
1962-01-31;29.251613;23.996129;19.748387;
1962-02-28;28.407143;22.958571;18.760714;
1962-03-31;29.93871;23.740645;19.670968;
1962-04-30;24.746667;19.322667;15.303333;
1962-05-31;20.7;15.071613;11.080645;
1962-06-30;20.576667;13.862667;9.396667;
1962-07-31;17.054839;12.794839;10.019355;
1962-08-31;20.122581;14.252903;10.064516;
1962-09-30;22.576667;17.047333;12.906667;
1962-10-31;23.7;18.008387;13.590323;
1962-11-30;27.923333;22.032667;17.493333;
1962-12-31;30.625806;24.199355;19.432258;
1963-01-31;30.103226;24.950323;21.370968;
1963-02-28;30.432143;25.011429;21.246429;
1963-03-31;30.003226;24.226452;20.490323;
1963-04-30;26.956667;20.414;16.096667;
1963-05-31;23.077419;17.22129;13.432258;
1963-06-30;20.563333;15.008;10.86;
1963-07-31;21.654839;15.419355;11.435484;
1963-08-31;19.296774;14.804516;11.6;
1963-09-30;21.896667;18.007333;15.51;
1963-10-31;23.080645;19.036129;15.73871;
1963-11-30;26.256667;21.162;17.406667;
1963-12-31;28.625806;23.037419;18.893548;
1964-01-31;30.86129;24.580645;19.925806;
1964-02-29;29.586207;24.331724;20.444828;
1964-03-31;28.76129;23.310968;19.370968;
1964-04-30;25.376667;20.611333;17.35;
1964-05-31;22.716129;17.025806;13.406452;
1964-06-30;18.37;12.448;8.326667;
1964-07-31;17.667742;12.184516;8.270968;
1964-08-31;20.632258;15.44;11.609677;
1964-09-30;21.293333;16.56;13.06;
1964-10-31;22.96129;17.997419;14.174194;
1964-11-30;26.156667;20.403333;15.72;
1964-12-31;28.4;22.263871;17.606452;
1965-01-31;30.351613;24.470323;19.883871;
1965-02-28;31.639286;25.531429;21.142857;
1965-03-31;26.283871;21.22129;17.629032;
1965-04-30;24.576667;19.680667;16.046667;
1965-05-31;20.93871;15.775484;12.148387;
1965-06-30;21.603333;16.29;12.863333;
1965-07-31;19.280645;13.909032;10.009677;
1965-08-31;20.290323;15.692903;12.235484;
1965-09-30;21.176667;16.765333;13.216667;
1965-10-31;25.232258;19.783871;15.603226;
1965-11-30;26.92;21.654667;17.663333;
1965-12-31;28.535484;23.531613;19.690323;
1966-01-31;29.841935;24.715484;20.858065;
1966-02-28;28.789286;23.970714;20.675;
1966-03-31;28.077419;22.980645;19.025806;
1966-04-30;25.58;20.85;17.643333;
1966-05-31;23.567742;17.335484;13.145161;
1966-06-30;21.116667;15.699333;12.216667;
1966-07-31;20.212903;14.947742;11.293548;
1966-08-31;18.683871;13.502581;9.758065;
1966-09-30;20.076667;15.684667;12.316667;
1966-10-31;23.496774;18.644516;14.970968;
1966-11-30;27.373333;21.756;17.553333;
1966-12-31;28.23871;23.236774;19.519355;
1967-01-31;29.709677;24.154839;19.935484;
1967-02-28;28.985714;23.866429;20.228571;
1967-03-31;27.232258;21.935484;18.077419;
1967-04-30;25.686667;19.874667;15.913333;
1967-05-31;25.035484;19.646452;16.329032;
1967-06-30;null;null;null;
1967-07-31;20.770968;15.216129;11.570968;
1967-08-31;22.467742;16.69871;12.764516;
1967-09-30;22.07;17.908667;14.563333;
1967-10-31;26.545161;21.549677;17.822581;
1967-11-30;26.596667;21.711333;17.72;
1967-12-31;31.041935;23.952258;18.287097;
1968-01-31;30.635484;24.630323;20.364516;
1968-02-29;31.12069;24.537931;19.431034;
1968-03-31;28.941935;23.445806;19.580645;
1968-04-30;22.67;16.916667;12.683333;
1968-05-31;20.596774;14.107742;9.63871;
1968-06-30;19.953333;14.722667;11.3;
1968-07-31;20.929032;15.352903;11.519355;
1968-08-31;21.958065;16.323226;11.996774;
1968-09-30;22.473333;16.746;12.133333;
1968-10-31;24.851613;19.573548;15.403226;
1968-11-30;29.156667;23.521333;19.153333;
1968-12-31;29.754839;23.969677;19.364516;
1969-01-31;29.367742;23.788387;19.703226;
1969-02-28;30.075;24.707857;20.853571;
1969-03-31;28.412903;23.009677;19.4;
1969-04-30;25.953333;20.627333;16.79;
1969-05-31;23.596774;17.647097;13.63871;
1969-06-30;20.216667;15.254667;11.533333;
1969-07-31;20.816129;14.576129;10.16129;
1969-08-31;19.86129;14.158065;10.054839;
1969-09-30;23.14;17.213333;12.873333;
1969-10-31;24.029032;18.094839;13.651613;
1969-11-30;26.773333;21.452667;17.473333;
1969-12-31;29.625806;23.196129;18.319355;
1970-01-31;31.180645;25.097419;20.825806;
1970-02-28;31.639286;25.707143;21.453571;
1970-03-31;29.370968;24.129032;20.354839;
1970-04-30;28.04;21.574;16.77;
1970-05-31;22.932258;18.012258;14.722581;
1970-06-30;20.35;15.372;11.83;
1970-07-31;20.341935;14.841935;11.074194;
1970-08-31;20.954839;15.289032;10.925806;
1970-09-30;22.97;17.449333;13.183333;
1970-10-31;23.083871;18.580645;14.935484;
1970-11-30;25.256667;19.552667;15.156667;
1970-12-31;29.9;23.763226;19.064516;
1971-01-31;31.829032;25.508387;21.287097;
1971-02-28;30.6;25.19;21.310714;
1971-03-31;27.664516;22.786452;19.367742;
1971-04-30;23.876667;18.494;14.54;
1971-05-31;20.554839;15.009032;11.367742;
1971-06-30;16.956667;12.54;9.103333;
1971-07-31;20.022581;14.73871;11.26129;
1971-08-31;20.7;15.429032;11.551613;
1971-09-30;24.826667;19.61;15.916667;
1971-10-31;25.548387;19.614839;15.170968;
1971-11-30;27.783333;21.707333;16.966667;
1971-12-31;31.46129;24.558065;19.209677;
1972-01-31;30.280645;24.529032;20.196774;
1972-02-29;29.117241;23.832414;19.558621;
1972-03-31;27.564516;22.867742;19.519355;
1972-04-30;24.456667;19.209333;15.32;
1972-05-31;24.203226;19.168387;15.512903;
1972-06-30;21.333333;17.854;15.37;
1972-07-31;19.977419;14.718065;10.993548;
1972-08-31;19.645161;15.222581;12.122581;
1972-09-30;22.8;17.51;13.35;
1972-10-31;23.329032;18.423871;14.812903;
1972-11-30;24.95;20.47;17.043333;
1972-12-31;29.645161;24.090968;19.770968;
1973-01-31;30.496774;25.274194;21.43871;
1973-02-28;29.807143;25.141429;21.825;
1973-03-31;28.267742;23.22;19.377419;
1973-04-30;26.516667;21.872;18.553333;
1973-05-31;22.029032;17.772258;14.664516;
1973-06-30;20.48;15.982667;13.013333;
1973-07-31;19.503226;14.948387;11.987097;
1973-08-31;18.206452;13.496774;9.958065;
1973-09-30;20.756667;16.166;12.513333;
1973-10-31;24.487097;19.424516;15.551613;
1973-11-30;26.236667;20.478667;15.52;
1973-12-31;29.119355;23.771613;19.870968;
1974-01-31;31.354839;25.670323;21.096774;
1974-02-28;29.460714;24.726429;21.421429;
1974-03-31;27.783871;23.308667;19.823333;
1974-04-30;26.073333;20.554;16.47;
1974-05-31;23.345161;18.234194;14.570968;
1974-06-30;17.72;12.922;9.941379;
1974-07-31;21.23871;15.743226;12.509677;
1974-08-31;21.009677;14.804516;10.296774;
1974-09-30;21.486667;15.988;12.25;
1974-10-31;23.329032;17.647742;13.116129;
1974-11-30;25.786667;19.984;15.47;
1974-12-31;26.470968;21.332903;17.446667;
1975-01-31;28.706452;22.955484;18.241935;
1975-02-28;29.032143;23.76;19.646429;
1975-03-31;27.629032;22.74129;19.190323;
1975-04-30;24.726667;19.626667;16.08;
1975-05-31;22.154839;16.890968;12.490323;
1975-06-30;19.543333;14.686;10.993333;
1975-07-31;18.629032;13.479355;9.696774;
1975-08-31;20.203226;15.808387;12.516129;
1975-09-30;21.53;17.035333;13.84;
1975-10-31;22.712903;18.050323;14.390323;
1975-11-30;25.896667;20.466;16.15;
1975-12-31;28.777419;23.049032;18.274194;
1976-01-31;29.651613;24.423871;20.609677;
1976-02-29;28.882759;23.549655;19.406897;
1976-03-31;26.629032;21.364516;17.132258;
1976-04-30;23.606667;18.399333;14.8;
1976-05-31;20.693548;16.458065;13.551613;
1976-06-30;17.9;13.131333;9.556667;
1976-07-31;18.616129;13.885161;10.358065;
1976-08-31;18.987097;14.150968;10.387097;
1976-09-30;21.343333;15.871333;11.906667;
1976-10-31;23.551613;18.163871;14.090323;
1976-11-30;25.436667;20.148;16.03;
1976-12-31;28.887097;23.177419;18.454839;
1977-01-31;30.080645;24.873548;21.203226;
1977-02-28;32.082143;25.840714;22.082143;
1977-03-31;28.190323;23.31871;19.716129;
1977-04-30;24.063333;19.342;15.54;
1977-05-31;20.570968;16.143871;12.809677;
1977-06-30;19.69;15.122;12.056667;
1977-07-31;22.458065;17.029677;13.109677;
1977-08-31;18.912903;14.711613;11.8;
1977-09-30;24.633333;19.026;15.146667;
