Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 1961-07-06
Data Final: 2020-09-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-07-31;26.658065;23.2;20.496774;
1961-08-31;26.587097;23.095484;20.280645;
1961-09-30;27.603333;24.284;21.066667;
1961-10-31;28.067742;24.952258;21.848387;
1961-11-30;29.426667;25.506;20.89;
1961-12-31;29.722581;25.905806;20.887097;
1962-01-31;30.590323;26.291613;20.887097;
1962-02-28;30.235714;26.757857;22.771429;
1962-03-31;29.948387;26.454194;22.793548;
1962-04-30;28.98;25.538667;22.09;
1962-05-31;28.512903;24.890968;21.458065;
1962-06-30;27.28;24.215333;21.103333;
1962-07-31;26.754839;23.398065;20.393548;
1962-08-31;26.967742;23.514194;20.048387;
1962-09-30;27.593333;23.896667;20.206667;
1962-10-31;29.248387;25.134839;21.041935;
1962-11-30;29.53;25.522;21.063333;
1962-12-31;29.858065;26.111613;22.058065;
1963-01-31;30.409677;26.345806;21.732258;
1963-02-28;30.717857;26.492857;22.646429;
1963-03-31;28.790323;25.55871;22.309677;
1963-04-30;28.866667;25.37;21.866667;
1963-05-31;28.329032;24.885806;21.474194;
1963-06-30;27.076667;23.918;20.88;
1963-07-31;26.690323;23.311613;20.216129;
1963-08-31;26.909677;23.448387;19.993548;
1963-09-30;27.883333;24.234;20.103333;
1963-10-31;29.541935;25.353548;20.890323;
1963-11-30;30.773333;26.216667;21.833333;
1963-12-31;30.503226;25.909677;22.158065;
1964-01-31;30.196774;26.182581;22.341935;
1964-02-29;30.148276;25.850345;22.741379;
1964-03-31;29.951613;26;22.490323;
1964-04-30;29.27;26.018667;22.46;
1964-05-31;28.645161;25.386452;22.158065;
1964-06-30;27.286667;24.236667;21.4;
1964-07-31;27.012903;24.216129;20.722581;
1964-08-31;27.241935;24.456774;20.190323;
1964-09-30;27.063333;24.195333;19.906667;
1964-10-31;28.590323;25.350323;19.245161;
1964-11-30;29.846667;25.448667;18.923333;
1964-12-31;30.383871;25.75871;19.516129;
1965-01-31;29.258065;25.261935;20.258065;
1965-02-28;30.85;25.872857;19.385714;
1965-03-31;30.467742;25.730968;20.074194;
