Nome: REALENGO
Codigo Estacao: 83801
Latitude: -22.8711111
Longitude: -43.44138888
Altitude: 42
Situacao: Operante
Data Inicial: 1971-02-28
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1971-02-28;null;null;null;
1971-03-31;null;null;null;
1971-04-30;28.996667;23.846667;19.313333;
1971-05-31;null;null;null;
1971-06-30;25.82;19.894667;15.71;
1971-07-31;26.980645;20.369677;15.729032;
1971-08-31;26.796774;20.961935;16.648387;
1971-09-30;27.266667;21.319333;16.806667;
1971-10-31;27.412903;22.074839;18.377419;
1971-11-30;27.79;22.889333;19.22;
1971-12-31;31.045161;25.496129;21.403226;
1972-01-31;33.945161;27.125161;22.180645;
1972-02-29;32.544828;26.573103;22.148276;
1972-03-31;32.887097;26.417419;22.012903;
1972-04-30;28.533333;22.974;18.94;
1972-05-31;28.909677;22.115484;17.435484;
1972-06-30;30.626667;22.053333;16.083333;
1972-07-31;26.412903;20.769032;16.658065;
1972-08-31;27.780645;21.513548;16.993548;
1972-09-30;28.136667;22.602;18.246667;
1972-10-31;28.896774;23.43871;19.551613;
1972-11-30;29.596667;24.752;21.166667;
1972-12-31;31.551613;25.819355;20.945161;
1973-01-31;34.606452;28.1;23.490323;
1973-02-28;34.782143;28.458571;23.489286;
1973-03-31;30.693548;25.763226;21.8;
1973-04-30;32.203333;26.529333;22.423333;
1973-05-31;27.819355;22.030968;17.677419;
1973-06-30;28.673333;22.165333;17.13;
1973-07-31;27.667742;21.546452;16.709677;
1973-08-31;25.719355;20.542581;16.290323;
1973-09-30;27.096667;21.593333;17.573333;
1973-10-31;27.651613;22.494194;18.029032;
1973-11-30;27.876667;22.962667;18.353333;
1973-12-31;31.909677;26.293548;21.945161;
1974-01-31;null;null;null;
1974-02-28;34.485714;27.802857;22.4;
1974-03-31;33.003226;27.110968;22.677419;
1974-04-30;28.79;23.83;19.9;
1974-05-31;28.567742;22.650323;18.016129;
1974-06-30;25.673333;20.444667;16.15;
1974-07-31;28.112903;20.787742;15.122581;
1974-08-31;28.722581;21.45871;15.596774;
1974-09-30;28.32;22.8;18.253333;
1974-10-31;27.648387;22.904516;18.667742;
1974-11-30;30.773333;24.796667;18.923333;
1974-12-31;29.787097;24.560645;19.754839;
1975-01-31;31.43871;26.138065;21.529032;
1975-02-28;33.132143;27.253571;23.175;
1975-03-31;32.464516;26.770968;22.480645;
1975-04-30;28.276667;22.604667;18.256667;
1975-05-31;26.277419;21.038065;17.354839;
1975-06-30;25.996667;20.407333;15.923333;
1975-07-31;25.729032;19.023226;13.796774;
1975-08-31;30.345161;22.935484;17.432258;
1975-09-30;28.13;22.616;18.406667;
1975-10-31;27.770968;23.196774;20.051613;
1975-11-30;29.886667;24.608667;21.103333;
1975-12-31;32.645161;null;22.174194;
1976-01-31;35.13871;null;22.932258;
1976-02-29;31.965517;null;22.037931;
1976-03-31;31.606452;null;21.525806;
1976-04-30;31.05;null;20.053333;
1976-05-31;27;null;17.467742;
1976-06-30;27.673333;null;17.07;
1976-07-31;26.009677;null;15.909677;
1976-08-31;26.541935;null;17.8;
1976-09-30;25.976667;null;18.489655;
1976-10-31;27.790323;null;19.319355;
1976-11-30;null;null;null;
1976-12-31;null;null;null;
1977-01-31;null;null;null;
1977-02-28;null;null;null;
1977-03-31;null;null;null;
1977-04-30;null;null;null;
1977-05-31;null;null;null;
1977-06-30;null;null;null;
1977-07-31;null;null;null;
1977-08-31;null;null;null;
1977-09-30;null;null;null;
1977-10-31;null;null;null;
1977-11-30;null;null;null;
1977-12-31;null;null;null;
1978-01-31;null;null;null;
1978-02-28;null;null;null;
1978-03-31;null;null;null;
1978-04-30;null;null;null;
1978-05-31;null;null;null;
1978-06-30;null;null;null;
1978-07-31;null;null;null;
1978-08-31;null;null;null;
1978-09-30;null;null;null;
1978-10-31;null;null;null;
1978-11-30;null;null;null;
1978-12-31;null;null;null;
1979-01-31;null;null;null;
