Nome: SANTA CRUZ
Codigo Estacao: 83789
Latitude: -22.92194443
Longitude: -43.68694444
Altitude: 63
Situacao: Desativada
Data Inicial: 1930-01-01
Data Final: 2019-12-18
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;null;null;null;
1961-02-28;null;null;null;
1961-03-31;null;null;null;
1961-04-30;null;null;null;
1961-05-31;null;null;null;
1961-06-30;null;null;null;
1961-07-31;null;null;null;
1961-08-31;null;null;null;
1961-09-30;null;null;null;
1961-10-31;null;null;null;
1961-11-30;null;null;null;
1961-12-31;null;null;null;
1962-01-31;null;null;null;
1962-02-28;null;null;null;
1962-03-31;null;null;null;
1962-04-30;null;null;null;
1962-05-31;null;null;null;
1962-06-30;null;null;null;
1962-07-31;null;null;null;
1962-08-31;null;null;null;
1962-09-30;null;null;null;
1962-10-31;null;null;null;
1962-11-30;null;null;null;
1962-12-31;null;null;null;
1963-01-31;null;null;null;
1963-02-28;null;null;null;
1963-03-31;null;null;null;
1963-04-30;null;null;null;
1963-05-31;null;null;null;
1963-06-30;null;null;null;
1963-07-31;null;null;null;
1963-08-31;null;null;null;
1963-09-30;null;null;null;
1963-10-31;27.467742;23.109032;19.909677;
1963-11-30;29.486667;24.127333;20.503333;
1963-12-31;29.987097;24.459355;20.745161;
1964-01-31;30.003226;25.16;21.683871;
1964-02-29;29.796552;25.167586;22.127586;
1964-03-31;30.487097;25.067097;21.322581;
1964-04-30;28.56;23.999333;21.04;
1964-05-31;25.329032;21.182581;17.945161;
1964-06-30;24.5;20.069333;16.713333;
1964-07-31;22.351613;18.280645;15.183871;
1964-08-31;26.151613;21.24129;17.632258;
1964-09-30;28.186667;22.309333;17.68;
1964-10-31;25.012903;21.356774;18.383871;
1964-11-30;27.14;22.296667;18.286667;
1964-12-31;28.490323;23.767742;20.380645;
1965-01-31;29.312903;24.406452;20.996774;
1965-02-28;30.589286;25.825714;22.628571;
1965-03-31;29.435484;24.510323;20.806452;
1965-04-30;29;23.872667;20.18;
1965-05-31;26.583871;22.100645;18.758065;
1965-06-30;null;null;null;
1965-07-31;24.284615;20.026923;16.726923;
1965-08-31;28.058065;22.295484;18.270968;
1965-09-30;28.42;23.252;19.813333;
1965-10-31;28.209677;23.101935;19.525806;
