Nome: RIO DE JANEIRO
Codigo Estacao: 83743
Latitude: -22.89555555
Longitude: -43.18472221
Altitude: 37.5
Situacao: Desativada
Data Inicial: 1930-01-01
Data Final: 2017-04-04
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;30.006452;26.602581;23.954839;
1961-02-28;30.039286;26.502857;23.75;
1961-03-31;29.254839;25.882581;23.1;
1961-04-30;28.72;25.408;22.563333;
1961-05-31;25.767742;22.870323;20.348387;
1961-06-30;25.506667;22.236;19.596667;
1961-07-31;25.545161;21.74;18.735484;
1961-08-31;26.954839;23.070323;19.76129;
1961-09-30;28.033333;24.362;21.586667;
1961-10-31;28.987097;25.095484;21.890323;
1961-11-30;28.7;24.920667;21.836667;
1961-12-31;29.277419;25.623871;22.645161;
1962-01-31;28.548387;25.328387;22.645161;
1962-02-28;29.310714;25.918571;23.410714;
1962-03-31;29.574194;26.245161;23.354839;
1962-04-30;27.186667;23.9;21.41;
1962-05-31;25.619355;22.212903;19.435484;
1962-06-30;23.376667;19.891333;17;
1962-07-31;23.53871;20.216774;17.432258;
1962-08-31;25.409677;21.454839;18.509677;
1962-09-30;26.1;22.303333;19.423333;
1962-10-31;25.483871;22.323226;19.896774;
1962-11-30;26.703333;23.736667;20.96;
1962-12-31;27.793548;24.716774;22.135484;
1963-01-31;31.248387;27.163871;23.790323;
1963-02-28;29.496429;25.955714;23.075;
1963-03-31;30.758065;27.005806;23.703226;
1963-04-30;27.48;24.309333;21.643333;
1963-05-31;26.167742;22.523871;19.287097;
1963-06-30;24.833333;21.181333;18.283333;
1963-07-31;25.403226;21.329032;17.993548;
1963-08-31;26.06129;21.786452;18.387097;
1963-09-30;27.4;23.192;19.85;
1963-10-31;26.416129;23.104516;20.525806;
1963-11-30;27.776667;24.356667;21.406667;
1963-12-31;27.56129;24.296774;21.180645;
1964-01-31;28.235484;25.043226;22.341935;
1964-02-29;29.041379;25.608276;23.013793;
1964-03-31;29.390323;25.532903;22.441935;
1964-04-30;27.256667;24.202667;21.69;
1964-05-31;24.706452;21.890323;19.63871;
1964-06-30;24.063333;20.728;18.076667;
1964-07-31;21.932258;19.090968;16.625806;
1964-08-31;25.274194;21.666452;18.790323;
1964-09-30;26.42;22.638667;19.193333;
1964-10-31;24.970968;22.049032;19.535484;
1964-11-30;26.673333;22.957333;19.996667;
1964-12-31;28.170968;24.451613;21.580645;
1965-01-31;28.441935;24.714194;21.925806;
1965-02-28;30.042857;26.446429;23.846429;
1965-03-31;29.041935;25.312903;22.564516;
1965-04-30;28.436667;24.766;21.913333;
1965-05-31;26.216129;22.999355;20.354839;
1965-06-30;25.956667;22.751333;20.156667;
1965-07-31;24.593548;21.31871;18.506452;
1965-08-31;26.651613;22.724516;19.458065;
1965-09-30;27.096667;23.609333;20.653333;
1965-10-31;27.419355;23.711613;20.83871;
1965-11-30;27.836667;24.814;22.12;
1965-12-31;31.732258;27.314839;24.035484;
1966-01-31;31.303226;27.403871;24.367742;
1966-02-28;33.621429;28.951429;25.232143;
1966-03-31;30.996774;26.756774;23.367742;
1966-04-30;27.29;24.183333;21.723333;
1966-05-31;25.783871;22.74;20.16129;
1966-06-30;26.676667;22.683333;19.58;
1966-07-31;25.390323;22.039355;19.341935;
1966-08-31;24.683871;21.07871;18.187097;
1966-09-30;25.05;21.761333;19.14;
1966-10-31;26.441935;23.212258;20.690323;
1966-11-30;26.443333;23.799333;21.366667;
1966-12-31;29.890323;26.105806;23.177419;
1967-01-31;29.135484;26.08129;23.796774;
1967-02-28;30.342857;26.932143;24.335714;
1967-03-31;28.764516;25.734839;23.43871;
1967-04-30;27.3;24.479333;22.163333;
1967-05-31;26.687097;23.384516;20.745161;
1967-06-30;25.696667;22.401333;19.67;
1967-07-31;24.890323;21.169677;18.309677;
1967-08-31;26.6;22.86129;19.848387;
1967-09-30;25.62;22.528667;19.796667;
1967-10-31;27.358065;24.083226;21.387097;
1967-11-30;26.406667;23.488;21.113333;
1967-12-31;26.332258;23.443871;20.935484;
1968-01-31;29.680645;26.061935;23.196774;
1968-02-29;27.993103;24.79931;22.193103;
1968-03-31;28.906452;25.61871;22.787097;
1968-04-30;25.89;22.665333;20.04;
1968-05-31;24.519355;20.643871;17.529032;
1968-06-30;23.626667;20.432667;17.796667;
1968-07-31;23.590323;20.266;17.616667;
1968-08-31;23.370968;20.272903;17.706452;
1968-09-30;24.113333;20.837333;18.17;
1968-10-31;25.058065;21.745161;18.970968;
1968-11-30;26.923333;23.862667;21.283333;
1968-12-31;29.435484;25.654839;22.3;
1969-01-31;30.570968;27.054839;23.948387;
1969-02-28;30.45;27.241429;24.589286;
1969-03-31;29.180645;25.932258;23.448387;
1969-04-30;27.05;24.057333;21.556667;
1969-05-31;26.967742;23.48;20.774194;
1969-06-30;25.483333;22.143333;19.536667;
1969-07-31;24.293548;20.92129;18.283871;
1969-08-31;25.209677;21.260645;18.380645;
1969-09-30;26.556667;22.783333;19.903333;
1969-10-31;24.645161;21.723226;19.425806;
1969-11-30;27.843333;24.696;22.243333;
1969-12-31;26.941935;23.863226;21.187097;
1970-01-31;29.364516;25.811613;22.929032;
1970-02-28;30.285714;27.119286;24.289286;
1970-03-31;29.429032;25.999355;22.929032;
1970-04-30;27.396667;24.157333;21.433333;
1970-05-31;27.306452;23.583226;20.706452;
1970-06-30;26.803333;22.992667;20.173333;
1970-07-31;24.448387;20.95871;18.2;
1970-08-31;24.835484;20.94129;18.122581;
1970-09-30;24.093333;21.216667;18.926667;
1970-10-31;24.73871;21.891613;19.216129;
1970-11-30;25.726667;22.208;19.276667;
1970-12-31;31.003226;26.874194;23.23871;
1971-01-31;31.845161;27.843226;24.290323;
1971-02-28;31.282143;27.651429;24.335714;
1971-03-31;30.029032;26.552258;23.145161;
1971-04-30;28.13;24.658667;21.723333;
1971-05-31;26.370968;22.971613;20.258065;
1971-06-30;24.503333;21.252667;18.546667;
1971-07-31;25.158065;21.634194;18.809677;
1971-08-31;24.86129;21.572258;18.909677;
1971-09-30;25.293333;21.442;18.523333;
1971-10-31;25.396774;21.98;19.309677;
1971-11-30;26.18;22.653333;19.883333;
1971-12-31;28.796774;25.030323;21.93871;
1972-01-31;30.870968;26.530968;23.135484;
1972-02-29;30.127586;26.285517;23.348276;
1972-03-31;30.058065;26.410323;23.554839;
1972-04-30;27.393333;23.966667;21.05;
1972-05-31;26.787097;23.209032;20.46129;
1972-06-30;28.046667;23.611333;20.21;
1972-07-31;25;21.718065;19.187097;
1972-08-31;26.670968;22.373548;19.2;
1972-09-30;26.026667;22.571333;19.95;
1972-10-31;26.703226;23.123226;20.296774;
1972-11-30;27.566667;24.383333;21.796667;
1972-12-31;29.164516;25.763871;23.141935;
1973-01-31;31.964516;27.452258;24.519355;
1973-02-28;31.682143;27.93;24.885714;
1973-03-31;28.809677;25.829677;23.390323;
1973-04-30;29.5;26.369333;23.83;
1973-05-31;26.496774;22.883871;20.067742;
1973-06-30;26.753333;23.274;20.623333;
1973-07-31;26.225806;22.802581;20.219355;
1973-08-31;24.696774;21.62;19.087097;
1973-09-30;24.983333;21.767333;19.183333;
1973-10-31;25.496774;22.449032;19.76129;
1973-11-30;25.74;22.890667;19.956667;
1973-12-31;29.119355;25.795484;22.987097;
1974-01-31;29.732258;25.854839;22.458065;
1974-02-28;29.485714;25.889286;21.964286;
1974-03-31;29.232258;25.794839;23.177419;
1974-04-30;26.873333;24.062667;21.55;
1974-05-31;26.393548;23.165333;20.58;
1974-06-30;24.45;21.108276;18.582759;
1974-07-31;24.954839;21.309677;18.412903;
1974-08-31;25.835484;21.858065;18.703226;
1974-09-30;25.271429;22.348571;19.84;
1974-10-31;25.336667;22.680667;20.454839;
1974-11-30;27.63;24.372667;20.953333;
1974-12-31;27.9;24.463226;21.719355;
1975-01-31;28.570968;25.351613;22.609677;
