Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 347.1
Situacao: Operante
Data Inicial: 1966-05-31
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1966-05-31;null;null;null;
1966-06-30;24.25;19.523333;16.336667;
1966-07-31;23.219355;18.986452;15.83871;
1966-08-31;22.696774;18.196129;15.045161;
1966-09-30;23.416667;18.848667;15.863333;
1966-10-31;24.793548;20.74129;18.029032;
1966-11-30;25.083333;21.422667;18.49;
1966-12-31;28.635484;23.889032;20.480645;
1967-01-31;27.922581;23.988;20.754839;
1967-02-28;29.496429;25.11;21.553571;
1967-03-31;27.545161;23.429032;20.529032;
1967-04-30;25.956667;21.804667;18.473333;
1967-05-31;25.616129;20.814194;16.86129;
1967-06-30;24.12;19.691333;16.05;
1967-07-31;22.706452;18.480645;14.977419;
1967-08-31;25.309677;20.251613;16.383871;
1967-09-30;24.356667;19.670667;16.063333;
1967-10-31;27.032258;22.239355;18.96129;
1967-11-30;24.41;20.867333;18.21;
1967-12-31;24.716129;20.834194;17.716129;
1968-01-31;28.909677;23.726452;19.980645;
1968-02-29;26.655172;22.327586;19.037931;
1968-03-31;27.890323;23.067097;19.654839;
1968-04-30;23.763333;19.416;16.366667;
1968-05-31;22.46129;17.24129;13.758065;
1968-06-30;21.906667;17.186667;13.936667;
1968-07-31;21.590323;17.011613;13.674194;
1968-08-31;21.6;17.156129;13.912903;
1968-09-30;22.86;18.157333;14.803333;
1968-10-31;23.9;19.510323;16.593548;
1968-11-30;26.25;21.52;18.063333;
1968-12-31;28.470968;23.634839;20.177419;
1969-01-31;30.709677;25.263226;21.277419;
1969-02-28;29.95;25.142143;21.589286;
1969-03-31;28.277419;23.678065;20.274194;
1969-04-30;25.466667;21.129333;18.08;
1969-05-31;25.022581;20.169032;16.754839;
1969-06-30;23.383333;19.374667;16.336667;
1969-07-31;22.887097;18.233548;14.674194;
1969-08-31;23.335484;18.823871;15.629032;
1969-09-30;24.986667;20.168667;16.836667;
1969-10-31;22.693548;19.112258;16.403226;
1969-11-30;26.14;22.213333;19.3;
1969-12-31;25.216129;21.306452;18.087097;
1970-01-31;28.393548;23.899355;20.274194;
1970-02-28;29.45;24.892857;21.425;
1970-03-31;28.793548;24.003871;20.493548;
1970-04-30;25.856667;null;18.146667;
1970-05-31;25.806452;null;17.551613;
1970-06-30;24.316667;null;17.023333;
1970-07-31;21.822581;null;14.816129;
1970-08-31;22.458065;null;14.180645;
1970-09-30;21.576667;null;16.033333;
1970-10-31;22.277419;null;16.493548;
1970-11-30;23.053333;null;16.663333;
1970-12-31;29.577419;null;20.429032;
1971-01-31;30.716129;null;21.032258;
1971-02-28;30.607143;null;21.292857;
1971-03-31;28.670968;null;20.825806;
1971-04-30;25.436667;21.24;18.633333;
