Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 1930-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
1961-01-31;null;null;null;
1961-02-28;null;null;null;
1961-03-31;null;null;null;
1961-04-30;null;null;null;
1961-05-31;null;null;null;
1961-06-30;null;null;null;
1961-07-31;null;null;null;
1961-08-31;null;null;null;
1961-09-30;null;null;null;
1961-10-31;null;null;null;
1961-11-30;null;null;null;
1961-12-31;null;null;null;
1962-01-31;null;null;null;
1962-02-28;null;null;null;
1962-03-31;null;null;null;
1962-04-30;null;null;null;
1962-05-31;null;null;null;
1962-06-30;null;null;null;
1962-07-31;null;null;null;
1962-08-31;null;null;null;
1962-09-30;null;null;null;
1962-10-31;null;null;null;
1962-11-30;null;null;null;
1962-12-31;null;null;null;
1963-01-31;null;null;null;
1963-02-28;null;null;null;
1963-03-31;null;null;null;
1963-04-30;null;null;null;
1963-05-31;null;null;null;
1963-06-30;null;null;null;
1963-07-31;null;null;null;
1963-08-31;25.725806;23.078065;20.780645;
1963-09-30;26.596667;23.841333;21.68;
1963-10-31;28.348387;24.943871;22.4;
1963-11-30;28.873333;25.596;23.066667;
1963-12-31;28.690323;25.400645;23.022581;
1964-01-31;29.212903;25.962581;23.632258;
1964-02-29;29.613793;26.393793;23.917241;
1964-03-31;28.706452;26.202581;23.867742;
1964-04-30;28.113333;25.720667;23.366667;
1964-05-31;27.067742;24.840645;22.9;
1964-06-30;26.19;23.781333;21.733333;
1964-07-31;25.925806;23.471613;21.619355;
1964-08-31;26.003226;23.452903;21.429032;
1964-09-30;26.903333;23.972667;21.49;
1964-10-31;27.641935;24.483226;22.083871;
1964-11-30;27.64;24.612667;22.196667;
1964-12-31;28.622581;25.162581;22.635484;
1965-01-31;29.229032;25.722581;23;
1965-02-28;30.217857;26.529286;23.614286;
1965-03-31;30.312903;26.826452;23.980645;
1965-04-30;28.403333;25.726667;23.45;
1965-05-31;28.077419;25.329677;22.932258;
1965-06-30;26.896667;24.279333;22.116667;
1965-07-31;27.012903;23.99871;21.664516;
1965-08-31;26.96129;23.649677;21.219355;
1965-09-30;27.933333;24.45;21.846667;
