Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1936;37.9;3;17.3;0;6.9;12.5;0.1;0.2;0.3;0.3;0;45.7;2.2;0.2;0.2;0.2;0.1;6.8;7.5;4.3;0;0;0;0;0;0;0;0.2;0;0.1;1.8;45.7;147.8
  02/1936;0.3;0.4;0.1;0.5;19.7;9.7;1;0.1;0;0;0;0.1;0.1;0;0.8;0.1;1.1;3.4;1.2;12.5;50.3;26.2;6.6;0;3.6;1.7;0.2;23.9;0.1;---;---;50.3;163.7
  03/1936;0.2;0;9.7;10.4;0.4;36.7;38.6;19.9;0.1;19.6;6.4;0.1;0.1;2;4.9;7.8;1.5;0;0.1;0.1;0;6.2;3;0;0.1;0.2;14.2;1.1;34.7;0.9;0.1;38.6;219.1
  04/1936;0.4;0.4;0.1;0.3;0.7;1.1;0;0;2.4;1;0.1;0;5;1.4;4.9;0;0.1;0.2;0.2;0;1.5;0.6;0.2;1.5;0.2;0.1;0.2;0.2;0.2;0;---;5;23
  05/1936;37.4;0;11.4;0.1;0;0;2.8;1.5;0;0;0.1;0.2;0.2;0.4;0;0.1;0.2;0;0;0.1;0.4;0;0.1;0.2;0;0.1;0;0.1;1.1;0.1;0.4;37.4;57
  06/1936;0;0;0.8;0;0.4;0;0.1;0.1;0.3;0;0;0.4;0;0;0.3;0;0.1;0.1;0.2;0;0.2;0;0;0;0.1;0.1;0.8;0;0;0.1;---;0.8;4.1
  07/1936;0.1;0;0;0;0.1;0;0.1;0;0;5.9;0.2;0;0;22.3;2.6;0.1;0;0;0.7;0;0.2;0;0;0;0;0.1;0;0.2;0;0;0;22.3;32.6
  08/1936;0;0;0;0;5.6;8.8;0.1;0.4;0.7;0.7;1.9;0;8.9;0;0;11.9;0.1;0;0;0;4.5;13.4;12.8;0;1.4;13.5;0;15.8;29;0;0.3;29;129.8
  09/1936;0.1;0;0.2;0;0;0.2;0;3.5;3.1;0;18.9;2.5;0.2;3.5;0.7;3.5;0;0;3.2;31.8;0;0.9;43;0.5;0;0;0;0;0;0;---;43;115.8
  10/1936;0;0;0;0;0;0;0;0;1.1;15.5;24.4;5;0;0;0;0;22.3;21.3;0;0;6;5.3;0.6;0.2;0;0;0.7;0;0;0;0;24.4;102.4
  11/1936;0;1;0;17.2;9.1;0.2;0.5;0;0;1.1;3.8;0.4;0;0;0;0;1.2;7.2;32;0;0;0;0;0;21.3;0.6;0.4;0;0;0;---;32;96
  12/1936;19.3;24.5;55.9;0;0;0;0;9.9;11.3;0;0.1;0.3;31;2.8;35.7;6.8;0;0;0;0;0;0;0;0;1.5;1.8;0.9;0.7;0;0;0;55.9;202.5
  01/1937;0;15.2;0.3;8.6;0.7;0;0.2;19.6;14.9;19.1;15.2;14.6;2;31.2;7.6;2.8;0.3;7.1;8.4;0.1;0.3;0;4.3;13.3;3.3;14.9;0.3;1;0.1;0;0.1;31.2;205.5
  02/1937;7.4;1.7;7.3;27.1;31.5;1.2;1;0.3;0.2;5;0.7;0.2;0;4.7;18.6;0.5;0;0.5;0.2;0;1.7;1;0.2;0.6;0.2;0.1;0.3;1.3;---;---;---;31.5;113.5
  03/1937;0.2;11.2;21;0;4.1;0;1;24.4;15;0.1;27;0.2;0.4;0.2;0.4;0.3;12.6;4;0.4;0;42.8;0.2;0.3;0;4.4;1.1;0.2;0.1;0.1;0.2;0.3;42.8;172.2
  04/1937;5;5.1;0;6.2;54.7;41.3;3.8;8;0;2.2;0.3;0;0;0.1;41.1;8.3;0.3;0.3;0.3;0.9;0;0.8;0.2;3.3;0.2;0;0.7;0.2;0.1;1.5;---;54.7;184.9
  05/1937;14.3;0;9.8;33.4;10.8;0.4;2.9;0.4;0.1;0.3;0.1;0;0;0;3.7;13.8;0.2;11;1.4;0.1;0.5;0;2.6;5.1;1.1;0.3;0.1;0;0.2;0.5;1;33.4;114.1
  06/1937;27.8;0.2;0.3;0.3;3;8.7;1;1.4;0.1;0.3;0.3;0;0.4;0;0.5;0.3;3.2;0.1;0;0.3;0.2;0.3;0.3;0.1;0.2;0.6;0.1;0.2;0.2;0;---;27.8;50.4
  07/1937;0;0.3;0.1;0.3;0.1;0;0.1;0;0.3;0;0;0.1;0.2;0.2;0;0;0;0;0;0;0.3;0;0;0.2;0.1;0.3;0.1;0.4;0.3;0.3;0.3;0.4;4
  08/1937;0;0;0;0;0.9;0.3;0.1;0.1;0;0.5;8;1.4;0.1;0;0.1;0.1;0;0.1;0;0;0;14.2;19;22.6;0.7;0.3;0.4;0.5;5.5;0.4;0.3;22.6;75.6
  09/1937;0.3;0;0.2;1;0;0.4;0;0.3;0.4;0;0.7;0.1;0.1;0;0;0.3;0;0;0;0;0;0.1;0;0.3;0.1;0.2;0;0.1;6;23.6;---;23.6;34.2
  10/1937;2.6;0.5;1.3;2.2;12.3;12.7;0.1;26.3;4.9;0.2;0;5.4;0.2;0.2;42.9;2.8;0.3;0.2;37.7;0.1;0.2;0.3;0.1;0.2;2.2;3.3;0.5;0;0.1;0.4;0.6;42.9;160.8
  11/1937;0;15.2;7;0.3;0;0;27.3;0;40.7;0.1;0.4;0.4;0;0;15.5;13.4;52.5;9.9;9.7;0;0.1;0.2;8;6.4;0.2;0;0;0.1;0;0;---;52.5;207.4
  12/1937;0;13.1;0.3;0.2;0.3;0.1;0.5;2.8;43.3;1.7;0.4;0.1;3.5;0.1;0;4;20.3;73.1;0.2;0.3;0;0.1;2;0.1;1.5;0.2;0.2;0.8;1.2;0.5;0.1;73.1;171
  01/1938;0;0.1;1.3;31.4;3.8;2.2;0;0.1;0;0.1;0;7.3;7.5;0.9;40.7;1.6;0.6;1.6;6.6;0;18.9;0.1;1;0.2;19.4;15.1;0;0;0;0;0.1;40.7;160.6
  02/1938;0.1;18.8;1.1;0;12.9;0.8;0;0;26.2;0.5;0.2;0;7.4;5.1;18.8;0.5;8.8;11;0;0.1;0.4;5.3;0.1;0.2;1;0;0.4;0.2;---;---;---;26.2;119.9
  03/1938;9.1;0.2;0.1;1.8;0.1;3.4;10.4;0.2;0.3;0.3;0.3;0.2;0.1;0.2;0.1;0.1;0.4;0.2;0;0;0.1;0.1;1;60.7;4.5;0.5;0.2;0.2;0.7;0.2;22.6;60.7;118.3
  04/1938;83;11.2;0.8;24.3;5.7;14.9;0.2;4;0;5.9;3.9;0;0;0.1;1.2;0;0.1;7.8;6;4.9;9.3;1.9;0;0.2;0.2;0.3;0.3;0.2;3.2;26.1;---;83;215.7
  05/1938;1.7;1.8;0;0.5;0.4;0.2;0.3;0.3;0.1;0.2;0.8;0.4;9.2;2.2;0.1;2.5;6.6;1.3;1.7;12.5;1.8;11.4;0.1;0;0;24.4;0.9;0;0;0.3;0.4;24.4;82.1
  06/1938;0.2;0.4;0.2;0.2;0.7;23;1.2;0.2;0.3;0.2;0.2;0.4;0.3;0.2;0.3;0.2;0.2;0.2;0.1;0.1;1.5;0.1;0.1;5.6;0.5;0.2;0.2;0;0.1;0;---;23;37.1
  07/1938;9.5;0.5;0.1;2.2;1.4;0.3;0.3;0.3;0.4;0;0.1;0;0;0;3.1;7.5;0;0.3;0.2;10.7;0.1;0.1;0;0.3;0;0.2;0.2;1;0;0;0;10.7;38.8
  08/1938;6.9;5.3;0.8;11.5;5;5;1.3;19.7;2.4;0.2;0;7.8;0.6;0.5;0.4;0.1;0.1;0;0.1;1.1;0;0;0.1;0;0;0;0;0;0;0.1;0;19.7;69
  09/1938;0;0;0.1;0.1;1.9;3.2;1.1;32.4;7.8;4.3;0.1;0.4;62.1;3.5;1;0;0.1;0.1;0;0;0;0.2;0.1;0.1;7.1;6.8;0.4;0;0.2;0.3;---;62.1;133.4
  10/1938;0;11.8;36.1;0.2;0.2;1.3;0;0;0;0;0;1.1;21.8;7.8;0.5;2.4;43;0.3;1;13;0.1;15.2;0.1;2.5;0.2;0.3;0;5.2;7.6;0.3;7;43;179
  11/1938;1;0.2;0.1;0.1;0.2;0;5.1;0.2;0.8;17.1;0;0;3;0.1;0.8;1;16;0.1;0.2;16.5;7.1;2.4;0;0.3;0;5.8;10.8;0.3;0.1;20;---;20;109.3
  12/1938;6.4;0;0.1;0.4;0;0;0;0.3;51.8;0;0.2;0.3;0.1;18.1;2.9;2.1;2.8;1.8;0;12.4;0.2;0.2;0.1;16.8;37.9;0.2;0.1;5.6;0.1;0.5;9.5;51.8;170.9
  01/1939;4;13.7;6.4;3;12.3;13.3;1.3;2.5;1.4;1.4;0.1;6.3;2.2;0.3;0;32.5;2.3;0.2;0.1;0.5;5.7;32.8;10;7.7;4;1;0.1;0.2;32.2;0.3;0.2;32.8;198
  02/1939;19.1;0.1;0.1;29.7;0;0.4;1.7;9.7;3.8;6.9;0.1;0.3;2.2;0;0.6;0.2;20.5;0;0.1;0;0.1;25.7;1.5;0.1;1.7;28.9;2;0.7;---;---;---;29.7;156.2
  03/1939;0.6;0.2;0.1;0.1;0.3;0;5.9;0.1;0;0.1;5.6;4.6;0.1;0.4;0.2;1.8;0.1;0;40.4;0.4;3;6.1;1.4;18.3;1.6;0.2;2.4;6.5;7.8;6.3;0.2;40.4;114.8
  04/1939;0.1;0.2;0.1;0;27.7;3.7;0;0;0.3;0;0.1;0.2;3.7;0;0.3;8.3;0.4;0.4;0.6;0.9;1.4;0.1;9.3;0.3;3.6;5.5;0;0;0;0.1;---;27.7;67.3
  05/1939;0.2;1.1;0.4;1.4;3.9;0.4;0.2;28.9;3.3;0.5;0.1;4.9;0;3.1;0;0;0.3;0.2;1.2;0;0;0.2;0.3;0.3;0.2;0.7;0.1;0.1;4.3;9.5;0.8;28.9;66.6
  06/1939;0;0.1;4.7;3.6;0.2;0.2;0;0.5;0.3;14.6;0.1;1.3;0.4;0.4;0.2;0;0;0.4;0.4;0.2;0.6;0.1;0.1;0.3;0;0;0;2.3;0.3;0;---;14.6;31.3
